"dbpedia_1869","Kaggle_3368","1.0","HT Media","ht media ltd"
"dbpedia_281","Kaggle_161763","1.0","Apacer","apacer"
"dbpedia_1600","Kaggle_35058","0.9230769230769231","Flight Centre","flight centre (nz) ltd"
"dbpedia_928","Kaggle_288242","1.0","China Mobile","mobile entertainment corp"
"dbpedia_177","Kaggle_101618","1.0","Alizz Islamic Bank","alizz islamic bank"
"dbpedia_227","Kaggle_5213","1.0","American Financial Group","american national"
"dbpedia_2703","Kaggle_519","1.0","Manulife","manulife"
"dbpedia_1108","Kaggle_3896759","1.0","Crown Holdings","the crown group"
"dbpedia_4788","Kaggle_5527438","1.0","Yes Bank","yes"
"dbpedia_2915","Kaggle_59124","1.0","Mukand","mukand industries limited"
"dbpedia_3352","Kaggle_3349378","1.0","Phoenix Group","the phoenix group"
"dbpedia_86","Kaggle_6258491","1.0","Access Engineering","access group"
"dbpedia_355","Kaggle_152783","1.0","Assicurazioni Generali","assicurazioni generali"
"dbpedia_2470","Kaggle_1629259","1.0","Kuraray","kuraray co., ltd."
"dbpedia_1743","Kaggle_20005","1.0","Genesis Energy Limited","genesis energy"
"dbpedia_2012","Kaggle_16867","1.0","Honeywell","honeywell technology solutions, inc."
"dbpedia_3646","Kaggle_3447463","1.0","SAS Group","sas"
"dbpedia_790","Kaggle_31633","1.0","Canaccord Genuity","canaccord genuity group inc."
"dbpedia_4676","Kaggle_234063","1.0","Wacom","wacom china corp"
"dbpedia_803","Kaggle_390119","1.0","Capital First Ltd.","first financial bank"
"dbpedia_4209","Kaggle_6397","1.0","Tata Motors","tata capital"
"dbpedia_1515","Kaggle_535188","1.0","FMC Corporation","fmc management, inc."
"dbpedia_3699","Kaggle_15499","1.0","SUSE","suse"
"dbpedia_4307","Kaggle_162070","1.0","The Warehouse Group","the warehouse"
"dbpedia_4542","Kaggle_1206833","1.0","United Bank Limited","united services"
"dbpedia_936","Kaggle_331729","1.0","China Re","re:group"
"dbpedia_86","Kaggle_143454","1.0","Access Engineering","access"
"dbpedia_2066","Kaggle_54673","1.0","IA Financial Group","ia"
"dbpedia_1319","Kaggle_182105","1.0","Dubai Bank","investment corporation of dubai"
"dbpedia_4454","Kaggle_508769","1.0","Trinity Industries","trinity international communications"
"dbpedia_3994","Kaggle_936414","1.0","Star Entertainment Group","star services"
"dbpedia_1457","Kaggle_15285","1.0","Equitas Small Finance Bank","equitas small finance bank"
"dbpedia_2789","Kaggle_373068","1.0","Mercury Energy","mercury communications"
"dbpedia_804","Kaggle_332099","1.0","Capital One","one energy llc"
"dbpedia_913","Kaggle_116755","1.0","China Foods Limited","capital foods limited"
"dbpedia_3663","Kaggle_717843","1.0","SHIFT Inc.","shift"
"dbpedia_1516","Kaggle_600430","1.0","FMC Corporation","fmc"
"dbpedia_4580","Kaggle_66592","1.0","Van Lanschot Kempen","van lanschot kempen"
"dbpedia_1865","Kaggle_5718421","1.0","HP Inc.","hp"
"dbpedia_3822","Kaggle_210265","1.0","Seven Bank","seven capital"
"dbpedia_1500","Kaggle_162171","0.9166666666666667","Expert (company)","energy experts international"
"dbpedia_958","Kaggle_6050","1.0","Cigna","cigna group insurance"
"dbpedia_1103","Kaggle_348448","1.0","Crew Energy","crew"
"dbpedia_30","Kaggle_277602","1.0","ADATA","adata ltd"
"dbpedia_86","Kaggle_2053506","1.0","Access Engineering","access"
"dbpedia_4433","Kaggle_189934","1.0","Transocean","transocean international"
"dbpedia_927","Kaggle_288242","1.0","China Mobile","mobile entertainment corp"
"dbpedia_926","Kaggle_151404","1.0","China Mobile","mobile-technologies"
"dbpedia_1887","Kaggle_705445","1.0","Handelsbanken","handelsbanken"
"dbpedia_799","Kaggle_3450656","1.0","Canon Inc.","canon"
"dbpedia_1582","Kaggle_371162","1.0","First National Financial Corporation","first national bank - financial group"
"dbpedia_85","Kaggle_6258491","1.0","Access Bank plc","access group"
"dbpedia_4553","Kaggle_311834","0.9","Universal Entertainment","universal ad"
"dbpedia_2704","Kaggle_519","1.0","Manulife","manulife"
"dbpedia_1117","Kaggle_98886","1.0","Currency Exchange International","currency exchange international"
"dbpedia_2957","Kaggle_22973","1.0","NW Natural","nw natural"
"dbpedia_192","Kaggle_142547","1.0","Ally Financial","ally financial inc."
"dbpedia_654","Kaggle_46828","1.0","Bolloré Africa Logistics","bolloré africa logistics"
"dbpedia_4401","Kaggle_129334","1.0","Torrent Pharmaceuticals","torrent technologies"
"dbpedia_2038","Kaggle_408543","1.0","Hunting plc","hunting consulting"
"dbpedia_2578","Kaggle_3458","1.0","LoanDepot","loandepot"
"dbpedia_1514","Kaggle_535188","1.0","FMC Corporation","fmc management, inc."
"dbpedia_3695","Kaggle_87664","1.0","STX Corporation","stx entertainment"
"dbpedia_422","Kaggle_19990","1.0","Axfood","axfood"
"dbpedia_804","Kaggle_352485","1.0","Capital One","one company"
"dbpedia_899","Kaggle_117130","1.0","China Airlines Group","national airlines"
"dbpedia_85","Kaggle_143454","1.0","Access Bank plc","access"
"dbpedia_643","Kaggle_56764","1.0","Blue Prism","blue prism"
"dbpedia_2668","Kaggle_4642820","1.0","Magellan Financial Group","magellan"
"dbpedia_3566","Kaggle_314778","1.0","Republic Services","republic industries inc."
"dbpedia_914","Kaggle_116755","1.0","China Foods Limited","capital foods limited"
"dbpedia_1168","Kaggle_433966","0.9","Damart","damar industries limited"
"dbpedia_1517","Kaggle_600430","1.0","FMC Corporation","fmc"
"dbpedia_136","Kaggle_16732","1.0","Airbus","airbus group inc."
"dbpedia_4581","Kaggle_66592","1.0","Van Lanschot Kempen","van lanschot kempen"
"dbpedia_957","Kaggle_6050","1.0","Cigna","cigna group insurance"
"dbpedia_4534","Kaggle_5613626","1.0","Uniq plc","uniq"
"dbpedia_4361","Kaggle_190946","1.0","Tokyo Star Bank","tokyo star bank"
"dbpedia_1864","Kaggle_5718421","1.0","HP Inc.","hp"
"dbpedia_85","Kaggle_2053506","1.0","Access Bank plc","access"
"dbpedia_1346","Kaggle_263515","1.0","ENN Energy","enn"
"dbpedia_31","Kaggle_277602","1.0","ADATA","adata ltd"
"dbpedia_1955","Kaggle_58858","1.0","Himax","himax"
"dbpedia_919","Kaggle_1180185","1.0","China Merchants Bank","china merchants bank"
"dbpedia_4432","Kaggle_189934","1.0","Transocean","transocean international"
"dbpedia_3352","Kaggle_1816605","1.0","Phoenix Group","the phoenix group"
"dbpedia_1038","Kaggle_1326577","0.9285714285714286","Compass, Inc.","compasso"
"dbpedia_3872","Kaggle_63106","1.0","Siemens Technology and Services","siemens management consulting"
"dbpedia_2606","Kaggle_9451","1.0","Lupin Limited","lupin pharmaceuticals"
"dbpedia_1954","Kaggle_405946","0.9375","Himalayan Bank","himalaya corporation ltd."
"dbpedia_4109","Kaggle_326606","0.9166666666666667","System 3 (company)","a1 systems"
"dbpedia_4281","Kaggle_397743","1.0","The Control Group","control group international"
"dbpedia_360","Kaggle_1732","1.0","Astellas Pharma","astellas pharma"
"dbpedia_1308","Kaggle_6670629","1.0","Doral Financial Corporation","doral financial corporation"
"dbpedia_4296","Kaggle_32376","1.0","The Restaurant Group","restaurant technologies"
"dbpedia_1052","Kaggle_214573","1.0","Constellation Brands","constellation brands inc"
"dbpedia_4678","Kaggle_234063","1.0","Wacom","wacom china corp"
"dbpedia_3649","Kaggle_96489","1.0","SBA Communications","sba"
"dbpedia_1025","Kaggle_45056","1.0","Comcast","comcast technology solutions"
"dbpedia_1417","Kaggle_3070634","0.9285714285714286","Embracer Group","embrace"
"dbpedia_1276","Kaggle_362064","1.0","Discover Financial","discover communications inc"
"dbpedia_3097","Kaggle_301108","1.0","Noritake","noritake co., inc."
"dbpedia_1514","Kaggle_284916","1.0","FMC Corporation","fmc financial group"
"dbpedia_3281","Kaggle_319833","0.9285714285714286","Partner Communications Company","financial partners international"
"dbpedia_3663","Kaggle_199013","1.0","SHIFT Inc.","shift"
"dbpedia_956","Kaggle_6050","1.0","Cigna","cigna group insurance"
"dbpedia_3711","Kaggle_9824","1.0","Saia","saia inc."
"dbpedia_3390","Kaggle_43087","1.0","Polaris Inc.","polaris"
"dbpedia_2958","Kaggle_18085","1.0","NWS Holdings","nws"
"dbpedia_1646","Kaggle_78000","1.0","Frontline Ltd.","frontline insurance"
"dbpedia_929","Kaggle_288242","1.0","China Mobile","mobile entertainment corp"
"dbpedia_3994","Kaggle_5395926","1.0","Star Entertainment Group","star motors"
"dbpedia_2904","Kaggle_9323","1.0","Mothercare","mothercare"
"dbpedia_3871","Kaggle_63106","1.0","Siemens","siemens management consulting"
"dbpedia_174","Kaggle_5342286","1.0","Align Technology","align"
"dbpedia_1007","Kaggle_5886240","1.0","Cochlear Limited","cochlear"
"dbpedia_753","Kaggle_5045433","1.0","CLS Holdings","cls"
