"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorJaccardNgram record1Value","[0] CompanyNameComparatorJaccardNgram record2Value","[0] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[0] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[0] CompanyNameComparatorJaccardNgram similarity","[0] CompanyNameComparatorJaccardNgram postproccesedSimilarity"
"LinearCombinationMatchingRule","dataworld_239","Forbes1264","0.0",,"Sumitomo Mitsui Trust","Sojitz","sumitomomitsuitrust","sojitz","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1240","Forbes909","0.0",,"Smith & Nephew","Skanska","smithnephew","skanska","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_770","Forbes71","0.0",,"Credicorp","China State Construction Engineering","credicorp","chinastateconstructionengineering","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1705","Forbes788","0.05",,"Popular","Porsche Automobil Holding","popular","porscheautomobil","0.05","0.05"
"LinearCombinationMatchingRule","dataworld_313","Forbes944","0.041666666666666664",,"BAE Systems","Banque Saudi Fransi","baesystems","banquesaudifransi","0.041666666666666664","0.041666666666666664"
"LinearCombinationMatchingRule","dataworld_696","Forbes1945","0.0",,"Northern Trust","NH Foods","northerntrust","nhfoods","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_239","Forbes1266","0.04",,"Sumitomo Mitsui Trust","Sunac China Holdings","sumitomomitsuitrust","sunacchina","0.04","0.04"
"LinearCombinationMatchingRule","dataworld_264","Forbes245","1.0",,"DBS Group","DBS Group","dbs","dbs","1.0","1.0"
"LinearCombinationMatchingRule","dataworld_770","Forbes75","0.0",,"Credicorp","China Minsheng Banking","credicorp","chinaminshengbanking","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1271","Forbes1800","0.0",,"AGCO","Accor","agco","accor","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_725","Forbes1015","0.0",,"NRG Energy","Navient","nrg","navient","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_992","Forbes15","0.0",,"Shanghai International Port","Samsung Electronics","shanghaiport","samsungelectronics","0.0","0.0"
"LinearCombinationMatchingRule","dataworld_1679","Forbes373","0.0",,"CNO Financial Group","Canadian National Railway","cno","canadiannationalrailway","0.0","0.0"
