"Blocking Key Value","Frequency"
"s","1159770"
"com","943040"
"uni","765888"
"pro","659286"
"med","466398"
"con","439569"
"ind","395824"
"hea","366950"
"a","337944"
"tun,loa,dou,ede","221"
"res","316965"
"bik","220"
"lis,enc,dr","219"
"zim","218"
"hug,ano","216"
"sid,gil","215"
"era,alo","214"
"aec","213"
"200,uga","212"
"sko","211"
"e2o,hli,ltx,dgb,lxi,qiw,zov,aao,eog,aoz,nkk,jex,nni,auz,axf,wov,on2,krb","2"
"bau","209"
"gle,wol,xia","208"
"cib,nia,asu,nuc,gai","206"
"pc","205"
"kyo,uta,ion,ete","204"
"deg","203"
"ced,am,sek,bob,oxf","202"
"nab,won","201"
"bum","200"
"oma","199"
"rab,jay,boe","198"
"gor,hyp,iri","197"
"tnk,23a,hkn,dle,ma?,iqe,rpt,jey,ofx,fuy,bsq,krk","1"
"avo","196"
"zap","195"
"dut","194"
"dil,bic,fus","192"
"unl","191"
"sme,bun","190"
"lun","189"
"rak,alk,shu","188"
"boy","187"
"3,oti","184"
"piz,nie,syd","183"
"old","181"
"plo,agu,ati,tay","180"
"aka","179"
"ica,fan","177"
"gif","176"
"yua,baj,tab","174"
"auc,tac","173"
"dio,fly","171"
"lov,ibi,wav,axa,sli","170"
"adm,apa","693"
"mee","169"
"cus","690"
"kip","168"
"qat","684"
"tin,pou,now","167"
"bet","682"
"ukr","166"
"nus","676"
"cis,ici","165"
"w,aco","672"
"fen,fia,shr,sm","164"
"loc","671"
"who","163"
"gaz","660"
"maz,koe","162"
"fit","655"
"jun","652"
"whe,ost","161"
"tyr","160"
"ela","640"
"ena,but","159"
"pul,ger","639"
"rex,sce,seb,xer","158"
"vac","633"
"twi","157"
"rom","618"
"hak","156"
"alc","616"
"got,lie,cze,loo,kai,kni","155"
"dow,alm,bli","612"
"kum","154"
"wom","610"
"jad,ato,aug,sed","153"
"egy","608"
"lem,vei,eth,nih","152"
"kuw","605"
"jan","604"
"veg,saa","151"
"laz,run,au","150"
"emi","602"
"lod,iss","149"
"hay","600"
"yon,fak","148"
"map","594"
"thu,eba,agc,ott","147"
"gan","591"
"acr,ard,sut","145"
"end,rig","590"
"lad,fiv,fmc","144"
"mig","588"
"fat","143"
"aff","587"
"duk,sep,kia","142"
"exi","585"
"xpe,ata","141"
"dee","582"
"pip,amr,ove","580"
"tub,num","140"
"pad,fue","138"
"fal","578"
"lil,kee","137"
"hoc,ino","576"
"hec,yok,nad,smc,se","136"
"too","570"
"tei,toa,tod,sah,bom","135"
"rev","566"
"low,bow","134"
"cog,dra","564"
"cic,mr","132"
"eri","561"
"jef,orb","131"
"agi","558"
"boc,sk","130"
"tek","554"
"7,cmc,eti,jea","128"
"jer,bah,ful,omn","550"
"der","548"
"pum,rhe,rog,any,jak","127"
"4","126"
"kha","543"
"wen,ord","125"
"lor,ema","540"
"axo","124"
"smi","2145"
"squ","534"
"cip,nid","123"
"vin","2144"
"–","530"
"piv,kos","122"
"dri,ale","2140"
"hun","529"
"vip","121"
"alu","2130"
"arb","528"
"mcg,ida,jen,kag","120"
"dor","2128"
"cri,ala","527"
"lid,hus,apt,bey","119"
"us","2115"
"ray","526"
"haz,mik,raf","118"
"ams","2082"
"til","524"
"cab","2080"
"thr,dic","522"
"bat","2065"
"onl","2060"
"hid,qin,elm,apr","117"
"leh,sak,jum,gia","116"
"maj","520"
"360,oor,cac","115"
"tig","516"
"rij,wag","114"
"que","2055"
"tes","515"
"gue,mav,rey,sl","113"
"lei","2050"
"bai","513"
"pee,acm,kab,kob,kog,tad","112"
"bui","2046"
"aid,kbr","512"
"mcd,itc,wee","111"
"you","2044"
"die","509"
"nea,rwa,ntt,wid,sla,oku","110"
