"Blocking Key Value","Frequency"
"uni","319120"
"com","309856"
"ind","287872"
"pro","238707"
"s","225030"
"res","167127"
"con","146523"
"ele","142974"
"hea","117424"
"mar","112795"
"ncc,ptt,weg,ike","44"
"vim,cp,cr,gec","43"
"aho,bax,hoy,soh,icb,ork","42"
"nid,hew,sm","41"
"rar,toc,rsa,opa,mtn,ili","40"
"bci","39"
"osa","38"
"peu,dp,jm","37"
"riy,pok,jb","36"
"yus,ich,ots,ead","35"
"enk,aia,hcl,dbs,lul,bae,bg,zio,mps","34"
"oba,zai","33"
"aeo,cno,sbe,jup,upm","32"
"tev,cgi,isu,pao,afl,wim,yum,kao,sr","31"
"isb,enb,alr,evr,kag,mgm","30"
"eif,pfi,aji,cnp,yua,edf,zoe","29"
"tif,g4s,csr,poh,pry,bbv,bs,sse,kog","28"
"myl,hca,nrg,jc,bov,gdf,taq","27"
"itv,iwa,avn,hsb","26"
"bok","25"
"ls,idg,osk,zod","24"
"god,maz","162"
"cmp,loe,dcc,pg,dwi,oor","23"
"als","160"
"ccr,lao,ohl","22"
"ena","159"
"liu,fcc,nvi,oda,byd,edp","21"
"rex","158"
"cme,uco,upl,kt,mmi,ya,tdc","20"
"aar","157"
"kyu,csl,hwa,klm","19"
"suz","156"
"jbs,rtl,yil,hik,bb,umi,mbi,hys,kaj,mtr","18"
"kro","155"
"vtb,oge,kbc","17"
"ato,pue","153"
"zte,cfs,kwe,eut,pud,bbm,bm,ei,gf,oi,miy","16"
"sna","152"
"cez,gud,rmb,akz,crh,ppg,wey,qan,wuh,otp","15"
"jud,veg","151"
"cvs,yah,tys,rwe,ntp,ucb,cf,wpp,htc,bhp,skf,kb","14"
"joy","150"
"tef,clp,tsb,ppl,lix,jgc,bce,qbe,dlf,unu,jys,dnb,wus,li","13"
"orl","149"
"rhb,cvr,hbc,hcp,yit,jpm,gd,fud,kdd,3m,kpn","12"
"wyn,inb","148"
"gkn,kym,agl,akb,cys,jte,hyn,oga,stx","11"
"bad,mig","147"
"gpt,pge,pgn,pnc,ues,uol,wul,fub,fuk,dte,vf,møl,tcl","10"
"hac","146"
"ioi,cpf,csn,daq,wr,ww,tdk","9"
"nit,ses","145"
"pld,aol,wia,uny,oit,brf,zij,ihi","8"
"hap","143"
"eqt,trw,nmd,nsk,ypf,oji","7"
"wan,jur","142"
"ehi,tpk,pko,aom,csx,ezd,a2a,jfe,sjm,hj,gje","6"
"moh","139"
"rao,vop,nhp,pvh,ytl,slm,drb,sqm,66,77,ikb","5"
"tos,fos,fue,kep","138"
"pbf,tjx,nbd,tpv,pkn,pzu,lyl,dy,lu,dvb,kgh,kiy,xil","4"
"lil","137"
"vmw,nhn,jx,hyo","3"
"das","372"
"raj","136"
"eog,aoz,jiz,yib,ufj,dgb,x5,gfn","2"
"3","368"
"bom","135"
"tnk,iyo,nks,fuy","1"
"tob","366"
"low","134"
"kuw","363"
"aeg,bue","133"
"bir,old","362"
"cic,nel","132"
"viv","360"
"ayu","130"
"ath","359"
"amc,cum","129"
"abb,nic","358"
"7,eti","128"
"ace","357"
"rog","127"
"alu","355"
"wen","125"
"fan","354"
"leu","124"
"tro","351"
"tul,sod","123"
"cof","350"
"eps,kos","122"
"dic,hyd","348"
"mck,gea,ime","121"
"nin,hin","346"
"ado","120"
"mir","344"
"jar,bey,hus,ibm","119"
"ark","343"
"amr","116"
"lg","342"
"luk","115"
"ire,mei","340"
"inp","114"
"w,may","336"
"rey,sl","113"
"tin,oce","334"
"itc,mcd","111"
"and","738"
"emb","328"
"laf,lyo,mcl,zim,edw","109"
"yam","735"
"who,jun","326"
"nec,yac,eat","108"
"arm","733"
"rio,sk","325"
"gun,awa,ca","107"
"alf","723"
"rur,lum,kas","324"
"wha","105"
"len","718"
"cru","323"
"usi,oto","104"
"sag","716"
"whe","322"
"nia,asu,gai","103"
"vir","709"
"ade","318"
"acs,tau","102"
"abu","699"
"mos","317"
"occ","101"
"are","696"
"lux","316"
"gam","693"
"reu","100"
"lev,moo","313"
"ise","98"
"gua","690"
"1,fie","310"
"loj,kaz","97"
"mol","672"
"ibe","309"
"nok,jin,dag,dil,ode,kes","96"
"kel","660"
"alm,ill","306"
"hok","95"
"bor","658"
"luc","305"
"rak,row,shu,cae","94"
"nis","657"
"mcc","304"
"hes,kis","93"
"arg","650"
"sek","303"
"eni,ais,mcm","92"
"lig","649"
"map","297"
"emc,zin","91"
"swi,ger","639"
"fal","289"
"yar","90"
"meg","636"
"too","285"
"sil","630"
"ral,koc","89"
"sie","283"
"peg,nem,bid","88"
"ens","620"
"arr,dra","282"
"aes,kru","87"
"don","1374"
"lot","618"
"cie","281"
"els,hex,vak","86"
"que","1370"
"alc","616"
"ear","279"
"abl,axa","85"
"bay","1362"
"rob","603"
"jer,omn","275"
"cms","83"
"tat","1355"
"lak","602"
"squ","267"
"tsu,buy","82"
"cop","1344"
"sym","598"
"abo,hut","264"
"anh,tyr,kot","80"
"loc","1342"
"exe,sei,du","588"
"ann","262"
