"Blocking Key Value","Frequency"
"par,nat","66"
"gre,tok,del,eas","64"
"tru,mat,gas","63"
"col,net,lin,sau,wor,hyu","56"
"cha","54"
"gol,cos","50"
"chi,chu,hon,sou","49"
"est,jap","48"
"she,val","45"
"glo,cre,por,deu,bro,kor","42"
"tel","384"
"ten,t,ene,dan,den,hun,lg,ori","36"
"ste","360"
"roy,yam,fin,sch,ser,dis","35"
"mar","340"
"cem,e,har,nov,hua,fra,mic,kon,cat,inf,inn","30"
"int","288"
"pop","28"
"aut","260"
"tha,agr,coa,pri,wal,pub,hen,sai,sk","25"
"mit","256"
"ent,bar,kan","24"
"pet","252"
"gru","225"
"sha","221"
"con,hea","208"
"ban","1748"
"ele","1365"
"ind","1024"
"res","783"
"com","713"
"pro","651"
"pow","648"
"air","621"
"uni","520"
"ame","440"
"ret","21"
"nan,toy,app,ara,arc,hai,avi,dat,sem,sho,man,kin,mob,mor,tat,inv","20"
"iro,lib","18"
"ita,rei,rep,per,pla,aus,her,sab,wil,hor,qat,fre,mac,mas,ove,cal,ing","16"
"oil","200"
"tec,l,gri,pen,equ,eve,lea,pol,pos,pre,dev,hok,hou,bei,sup,one,qua","15"
"cen","187"
"ver","14"
"shi,sta","182"
"ter,acc,adv,emi,aer,coc,ana,cro,yan,asa,hal,lon,joh,sci,sea,mag,bos,syn,gal,gar,imp,cap","12"
"sec","180"
"cho,jia,fuj,str","10"
"s,can","169"
"ray,kuw,c,abu,isl,rel,kyo,tob,toh,phi,coo,nex,eur,roc,ros,nis,asi,rus,nob,hei,hel,axi,far,dav,sco,sei,sek,dha,sev,woo,dol,don,bre,sur,us,mot","9"
"gen","156"
"ran,goo,reg,ren,exc,war,bus,mol,ven","8"
"pac,foo","154"
"for","150"
"wes,fir","144"
"all","143"
"gla,tes,tex,cel,abb,f,h,pay,gra,ric,cla,pep,nas,gua,pha,ess,cop,cor,pin,alf,lau,ama,ang,ant,leg,tur,nin,len,rur,ava,wat,fas,lot,wel,whi,sal,fid,bal,bas,bay,an,hot,dia,bev,bha,bil,fro,smi,mah,spe,boe,re,ker,st,eco,tar,inc","6"
