"Blocking Key Value","Frequency"
"com","417632"
"uni","414856"
"pro","352377"
"ind","287872"
"s","225030"
"con","180336"
"res","155601"
"cen","152320"
"mar","132700"
"ele","128310"
"dae,geb","60"
"rop,gap","59"
"cnp,baj,bao,ola,owe","58"
"tui,luz,hok,boh,koh","57"
"bbv,bnp,kob","56"
"viz,mye,wip,ici,gez","55"
"eis,hdf,omr,te","54"
"sgs,xl","53"
"hak,nh,cbr","52"
"ahl,toh,aon,rya,hp,ura,klu","51"
"aet,anz","50"
"ers,bt,xce,eba","49"
"nok,bek,dsm","48"
"raa,kub,pcl,amg,bmc","47"
"ito,dah,duf","46"
"aac,ets,aya,sik","45"
"ncc,ptt,ike","44"
"agn,cp,cr,gec","43"
"aho,bax,hoy,icb,ork","42"
"tsu,nid,hew,hd,sm","41"
"rsa,wec,mtn,ili","40"
"dee,dut","194"
"tsi,bci,kio","39"
"tia,nag,jin,ves","192"
"kyu,osa","38"
"rak,cog,hir","188"
"peu,dp,jm,giv","37"
"eri","187"
"riy,pok,kaw","36"
"hes,bed","186"
"exx,yus,jd,ich,ots,ead","35"
"ad,bud","185"
"voe,enk,aia,vul,asr,hcl,dbs,sbi,zio,mps","34"
"3,rol","184"
"oba,meb","33"
"rit,nie","183"
"aeo,cno,sbe,upm","32"
"bmw","181"
"tev,cgi,isu,afl,wim,sds,kao","31"
"ema,tay","180"
"isb,enb,alr,bp,yun,mgm,tp","30"
"aka,oly","179"
"eif,pfi,aji,cst,yua,hue,bpi,bpm,edf,zoe","29"
"abe,pot","178"
"tif,g4s,amd,kb,sse,ihs","28"
"ska","177"
"myl,hca,nrg,jc,bov,idb,taq","27"
"tol,dic","174"
"itv,iwa,avn,lup,hsb","26"
"ald","173"
"sba,bok,stm,ono","25"
"dio","171"
"xpo,ck,fud,ifi,osk","24"
"mei","170"
"loe,dcc,pg,dwi,oor","23"
"pio","169"
"ccr,koi","22"
"pou","167"
"pfa,liu,nvi,byd,edp","21"
"cis,nep,gaz","165"
"zul,cme,fcs,uco,upl,kt,mmi,ya","20"
"fen","164"
"csl,hwa,soj,klm","19"
"ada,lot,nuc","412"
"god,maz","162"
"jbs,jil,yil,hik,bb,umi,kaj,mtr","18"
"lei,sac","410"
"whe","161"
"vtb,nn,kbc","17"
"fab","402"
"als","160"
"zte,kwe,pud,bbm,bm,ei,gf,jg,oi","16"
"g","400"
"aar","157"
"kue,cez,gud,akz,crh,ppg,wey,qan,otp","15"
"mov","399"
"suz,xia","156"
"cvs,yah,tys,rwe,ntp,ucb,bcb,jsw,wpp,bhp,skf,efg","14"
"nur","393"
"kai","155"
"tef,clp,ppl,lix,bce,qbe,unu,jys,dnb,wus,li","13"
"sve","389"
"hud","154"
"rhb,hbc,hcp,jpm,gd,kdd,3m,kpn","12"
"ext","385"
"ato,kim","153"
"gkn,kym,agl,cnh,akb,jte,hyn,oga,bpe,dxc,btg,3i,wm","11"
"ram","384"
"veg","151"
"sub","381"
"gpt,pge,pnc,f5,wul,fub,dte,vf,iid,møl,tcl","10"
"iss,orl","149"
"cgn,cpf,daq,woh,hrg,l3,dsv,kga,wr,ww,tdk","9"
"pru,bun","380"
"wyn,inb","148"
"aen,luj,ugi,obl,oit,brf,ty,zij,ihi","8"
"ave,lun","378"
"bad,sdi,mig","147"
"eqt,nsk,ubs,ypf,oji,wh,otk","7"
"das","372"
"hac","146"
"cdw,pko,crr,csx,ezd,jfe,jiu,nvr,wpg,omv,svb,gje","6"
"zon","370"
"ses","145"
"rao,pgn,pvh,yut,fuk,66,77","5"
"tob","366"
"liq,hap","143"
"pbf,tjx,nbd,pkn,pzu,nxp,dy,dvb,kiy,xil","4"
"kuw","363"
"jur","142"
"vmw,lkq,bcv,dks,hyo,omx","3"
"old","362"
"moh","139"
"kwg,eog,aoz,yib,ufj,dgb,x5,gfn,xis","2"
"viv","360"
"fue","138"
"iyo,jxt,fuy,bnk","1"
"ath","359"
"lil","137"
"nic","358"
"bom","135"
"alu,nut","355"
"low,gee,veo","134"
"men","816"
"fan,ica","354"
"aeg","133"
"cer","807"
"dal","353"
"cic,hut","132"
"ora","802"
"yan","351"
"amc,cum","129"
"ray,saf","789"
"hin","346"
"eti","128"
"mis","785"
"ark","343"
"zur,rog,kle","127"
"f","783"
"lg","342"
"leu","124"
"key","766"
"ire","340"
"sod","123"
"dar","760"
"w,may","336"
"eps,pir,jab,kos","122"
"dha","750"
"tin","334"
"gem","747"
"vip,mck,gea","121"
"zhe","332"
"ado","120"
"and","738"
"who","326"
"jar,bey,hus,ibm","119"
"gui","736"
"sk","325"
"luk","115"
"mex","709"
"kas","324"
"inp","114"
"abu","699"
"meg","318"
"rey,sl","113"
"hyd","696"
"lux","316"
"nik,aro","112"
"jew","690"
"lev,moo","313"
"itc,mcd","111"
"mir","688"
"1,bha,kro","310"
"laf,lyo,mcl,zim,edw","109"
"bai","684"
"ibe","309"
"erg,nec,hug,eat","108"
"lau","680"
"alc","308"
"ker","678"
"gun,ca","107"
"alm,pue","306"
"hui","106"
"tim","677"
"mcc","304"
"asu,gai","103"
"vir","1418"
"h","670"
"sek","303"
"acs,voy,guo","102"
"rus","1398"
"di","669"
"pep,hab","302"
"occ","101"
"are","1392"
"oce","668"
"sym","299"
"reu,jul,zho","100"
"war,gam","1386"
"kel","660"
"boe","297"
"twe","99"
"rei","1380"
"bor","658"
"evo","292"
"ise","98"
"r","1376"
"nis","657"
"pip,nit","290"
"amt,ctr","97"
"don","1374"
"amb,jun","652"
"fal","289"
"ems,ode,kes","96"
"ali,que","1370"
"rio","650"
"too","285"
"fed","1363"
"ger","639"
"ang","1360"
"amo,bdo","95"
"nam,wan","284"
"row,kla","94"
"ade","636"
"sie","283"
"eni,ais,mcm","92"
"bei","1355"
"fla","626"
"arr","282"
"zin","91"
"mol","1344"
"mou","621"
"cie","281"
"yar,yes","90"
"loc","1342"
"ens","620"
"lam","277"
"koc","89"
"edi","1324"
"ill","612"
"tos","276"
"peg,nem,bid","88"
"fer","1320"
"spi","609"
"jer,ful,omn","275"
"aes,kru","87"
"tho","1304"
"has,sna","608"
"aur","274"
"hex,vak","86"
"do","1294"
"rob","603"
"raj,mea","272"
"abl,axa","85"
"vis,goo","1288"
"an","596"
"squ","267"
"y","1284"
"map","594"
"us","1269"
"von,bim","84"
"wei","266"
"cms","83"
"exe,sei,du","588"
"som","265"
"fia,buy","82"
"van","1267"
"aff","587"
"abo","264"
"anh,kot","80"
"kan","3336"
"gla,pho","1266"
"spr","580"
"cot","263"
"rex,sce,dex,seb,kei,xer","79"
"t","3264"
"win","1261"
"clo","577"
"ann","262"
"atm,ubi,dov,qin","78"
"aer","3240"
"cin","1251"
"n,aud","569"
"tom","261"
"pem","77"
"cro","3237"
"yor","1246"
"dom","565"
"pun","258"
"au,doh,uc","75"
"mag","3225"
"peo","1234"
"agi","558"
"cyb","257"
"yon,gs","74"
"d","3200"
"vol","1232"
"ide","554"
"aid","256"
"exo,two,jb,smu,td","72"
"ber","3196"
"i","1222"
"pai","552"
"zen","254"
"ori","3192"
"gri","1218"
"bou","551"
"hun","3174"
"cel","1212"
"asi","3117"
"thy,aec,duk,kia,cbs","71"
"wen","250"
"jaz","70"
"abb,dol","537"
"kra","247"
"asm,kep","69"
"hai","1210"
"vin","536"
"swa","244"
"bae,cj,smc,miz,ved","68"
"gar","3088"
"bil","1198"
"ale,fai","535"
"sir","243"
"cig,vod","67"
"ret","3072"
"sav","1190"
"vic","528"
"hit,sia","242"
"gom,vor,ms","66"
"deu","2954"
"fle","1166"
"eli","526"
"ash","239"
"csc","65"
"emp","2950"
"geo","1162"
"yam,nob","525"
"neg","238"
"luf","64"
"ten","2934"
"sab,ove","1160"
"boo","524"
"fox,tak,cai","235"
"yea,fem","63"
"tex","2838"
"blu","1157"
"uti","522"
"flu","231"
"fif,dix,yum","62"
"hel,sur","2784"
"sen","1155"
"nin","519"
"cim,nom","230"
"phi","2760"
"nas,tok,was","1152"
"mak","516"
"hor","2752"
"alp","1144"
"ter","2736"
"dam","228"
"leo,jia","510"
"foc","227"
"on","1140"
"alb","507"
"doo,kap","223"
"tai","2728"
"pin","1134"
"fid","500"
"llo,mae","222"
"bar","9528"
"cho","2710"
"tar","1128"
"sap","498"
"pon","221"
"str","9440"
"leg","2688"
"ess","1119"
"rem,fon","496"
"enc","219"
"hou","8600"
"roc","2664"
"nav","1118"
"ton","495"
"joi","217"
"por","8148"
"edu","2660"
"pop","1100"
"mur","490"
"bec,gil","215"
"aus","8064"
"cap","2652"
"ope","1095"
"cul","488"
"pul","213"
"reg","8032"
"vie","2620"
"ast,qui","1092"
"amp,rur","486"
"gob","212"
"inn","7980"
"mus","2606"
"tat","1084"
"alf","482"
"mic","7956"
"ben","2596"
"len","1077"
"gra","7785"
"p","2558"
"cor","7707"
"isr,hya","210"
"sas","478"
"ore","209"
"ava","1066"
"non","476"
"gle","208"
"swi","2556"
"ala","1054"
"poi","473"
"rod","206"
"nat","7698"
"wel","2553"
"lat","1034"
"lar","464"
"fib","205"
"cat","7540"
"age","2513"
"tor","1028"
"pea","463"
"kyo,dow,bli,kir","204"
"mit","7424"
"bre","2478"
"bui","1023"
"apa","462"
"rub","202"
"eur","7305"
"v","2434"
"son","1022"
"ult","460"
"jet,oma,sui","199"
"ent","7284"
"bal","2430"
"ama","1020"
"var","459"
"rab","198"
"den","7134"
"sem","2420"
"whi","1014"
"scr","458"
"iri,bab","197"
"dat","7005"
"pha","2406"
"usa","1013"
"dec","456"
"app","6945"
"sco","2388"
"ran","1008"
"mor","6844"
"kor","2387"
"l","6774"
"ban","114448"
"for","105870"
"int","104652"
"hea","95407"
"aut","86320"
"ame","80696"
"tra","79896"
"med","77733"
"sta","76146"
"sch","74263"
"swe","453"
"asa","1004"
"ris","452"
"tow","2379"
"eme,nip","1000"
"adi","450"
"sam","6714"
"sig","2334"
"mun","987"
"wis","448"
"pol","6711"
"bas","2262"
"env","984"
"bes","447"
"fre","6548"
"nex","2244"
"hum","983"
"nes","446"
"c","6456"
"act","2242"
"dyn","980"
"dub","445"
"rai","6370"
"ana","2232"
"cru,axi","969"
"hat","444"
"dan","6264"
"max","2206"
"sca","956"
"mut","440"
"log","6258"
"hen","2165"
"mos","951"
"dr","438"
"sum","6193"
"ant","2157"
"sky","950"
"des","6120"
"rel","2145"
"cal","6052"
"ass","73177"
"par","71027"
"sys","70524"
"car","59110"
"air","59103"
"col","57414"
"bra","52150"
"sec","51180"
"gru","46470"
"nor","40810"
"bak","434"
"el","938"
"las","432"
"eng","2129"
"hua","930"
"cir","424"
"roy","5999"
"ric","2112"
"pap","928"
"iro","423"
"equ","5975"
"al","2096"
"hei","927"
"tir,att","422"
"wil","5968"
"tha","2095"
"qat","912"
"via","421"
"sof","5952"
"pra","2094"
"j,mai","910"
"wol,fuj","416"
"sci","5883"
"bay","2043"
"en","905"
"thi","415"
"art","5868"
"chr","2018"
"jam","904"
"fos","414"
"lea","5802"
"dia","2012"
"emi","903"
"bat","413"
"agr","5785"
"bos","2001"
"sev","897"
"lib","5658"
"fou","1986"
"spa","5640"
"tel","40096"
"new","39372"
"pow","39285"
"cit","37010"
"can","34983"
"ste","34758"
"min","34507"
"rea","34000"
"foo","30128"
"dis","30100"
"cop","896"
"tur","1984"
"top","892"
"oil","5590"
"fas","1977"
"kom","883"
"dai","5588"
"off","1957"
"sis","876"
"hot","5556"
"b","1945"
"hil","871"
"hom","5510"
"bur","1942"
"fis,bol","864"
"nov","5298"
"liv","1938"
"hyu","861"
"one","5285"
"sol","1936"
"esp,smi","858"
"pen","5255"
"hol","1930"
"jac,at","848"
"eve","5240"
"hal","1929"
"tot","846"
"spe","5229"
"ros","1917"
"ene","5184"
"cha","29790"
"all","29497"
"a","28162"
"net","27808"
"gen","27504"
"san","26936"
"met","26664"
"fir","26460"
"wes","25524"
"ser","24836"
"tou,hop","844"
"toy","1904"
"blo","842"
"acc","5010"
"alt","1850"
"mel","840"
"gol","4945"
"re","1833"
"opt","836"
"ita","4904"
"isl","1815"
"mah","834"
"st","4887"
"tre","1776"
"tal","832"
"mas","4880"
"cas","1767"
"coc","831"
"hon","4830"
"mot","1761"
"bev","825"
"gro","4794"
"cem","1730"
"ned","824"
"coa","4770"
"jap","1688"
"pal","822"
"mac","4752"
"woo","1686"
"soc","4724"
"glo","24458"
"sha","23409"
"pac","22932"
"pri","22375"
"wor","21273"
"inf","20970"
"tec","20770"
"che","20254"
"exp","19720"
"del","19592"
"pan","1660"
"sau","4711"
"fac","1658"
"eco","4593"
"nan","1655"
"avi","4510"
"o","1638"
"bio","4485"
"atl","1606"
"ven","4484"
"cam","1605"
"ab","4450"
"bla","1602"
"hos","4384"
"pay","1581"
"syn","4350"
"fro","1578"
"lab","4294"
"tes","1545"
"cos","4275"
"pet","19068"
"sou","18956"
"cre","18432"
"lan","18117"
"mon","17622"
"chi","17514"
"gre","17488"
"lif","17250"
"e","16955"
"tru","16605"
"inc","1536"
"ren","4256"
"it","1533"
"her,kin,inv","4236"
"sim","1526"
"gal","4176"
"bel","1475"
"gua","4140"
"mil","1466"
"sho","4092"
"fun","1456"
"rep","4084"
"dav","1455"
"mob","4076"
"in","1450"
"gas","4039"
"the","1437"
"wal","4035"
"m","1436"
"sai","4025"
"mer","16530"
"bro","16170"
"est","16044"
"sto","16040"
"pre","15815"
"fra","15606"
"bri","15057"
"shi","14896"
"pub","14365"
"ins","13660"
"ing","4012"
"dep","3978"
"red","3870"
"dev","3795"
"dig","3752"
"kon","3720"
"far","3681"
"sea","3657"
"ara","3650"
"mid","3636"
"adv","13088"
"sup","12940"
"lin","12936"
"bus","12864"
"mat","12501"
"fin","12275"
"sun","12177"
"pla","12136"
"eas","11784"
"ver","11508"
"pos","3500"
"wat","3486"
"joh","3460"
"coo","3459"
"exc","3432"
"qua","3411"
"sal","3406"
"lon","3360"
"rec,imp","3354"
"cla","3351"
"han","11110"
"per","10880"
"sin","10836"
"man","10590"
