"Blocking Key Value","Frequency"
"ent","11160"
"ing","10692"
"ban","7810"
"res","6950"
"ele","6912"
"and","6850"
"ric","6396"
"anc","6336"
"ste","5850"
"com","5499"
"ksi,kss,cdw,tfl,tfo,ceh,cek,kut,thk,thn,tht,thy,cgi,kya,chw,kym,tlo,ckd,ckp,tno,cms,tog,toi,toz,tpe,tqu,lap,ldf,ldh,csf,csl,tuf,csx,lfc,cue,cui,lgd,lgc,lgh,lgu,cwe,lho,tyh,tyg,cyt,lmy,uax,lqa,ubu,lru,lsf,lsm,uea,uee,ueh,uem,ltd,lts,luf,ufr,ded,luo,luz,dgb,uid,uih,uik,lyf,did,lyo,lyr,dja,uls,unh,unr,uop,uos,uor,uot,upi,doh,dou,mav,mcc,usk,mcd,mcl,drh,utn,dsi,dsy,uve,duf,uyg,dxc,dye,moe,msm,ved,veg,vet,edf,mul,eff,mwo,vip,viz,ehn,mye,eib,elg,vmw,emd,emg,enf,vou,voy,eok,epi,nbd,nbl,eqt,nck,esg,etb,etl,nez,ewh,nhs,ewm,ewr,niq,eyd,eyi,nkl,nku,nnv,noh,fab,nsl,wey,ntp,ntw,fem,fet,nvr,wig,wip,fif,fit,nzi,flu,wng,wre,wst,wth,fry,fse,odm,ftb,fue,wwa,fuy,ogg,oje,olm,omc,xce,xco,gba,gce,gct,otp,gdi,geh,gfe,gga,owh,ggo,xin,xit,glu,goa,pbe,gte,gth,gud,gup,gut,xxo,gwe,xys,gyi,poc,pom,pou,yad,yah,yat,ybd,ybl,yca,hbe,hcl,yex,pud,hej,yga,ygu,hkl,yni,hmc,yog,hof,yse,ysk,yss,yth,hse,yut,hth,huo,hwe,hyo,hys,zca,iau,iay,zeq,ifb,ifr,zij,ilb,zoe,zor,inl,iog,rao,zra,rax,ipt,aab,aap,zuh,acp,acw,zuo,itb,itf,itk,itv,iud,aea,rfr,iun,rhu,zym,ixs,rjg,aib,aij,aio,rkd,rkm,ajh,izr,rls,alq,rno,rnu,aoh,aop,aos,aot,aoz,jaz,rsb,rsw,asd,asf,asn,jed,jen,atm,auo,auv,jga,jhi,ryb,ryd,aww,ryl,ayb,ayh,ayw,azd,joi,jpm,say,sbi,bbm,seh,sex,jus,bey,bhu,skf,sks,slg,sml,snb,bmg,soj,bom,bop,bov,kah,ssq,kdd,stq,sud,sul,bue,buk,kga,sws,kgo,sym,kik,kma,kni,tay,tbu,cbe,cbr,tdk","1"
"vic,omi,ord,pha,sol","150"
"ech","148"
"omp","147"
"cos,lon,olo,gro,ira,iso,rgi,alc,rth,bar,sea","144"
"jin,bis","143"
"cel,dar,oce,osa,ota,sba","140"
"rel","138"
"cie,tok,eno,erv,onc,onp","136"
"oya,hok,rup","135"
"mes,ean,hel,iss","133"
"cem,uan,orm,hor,ays","132"
"rac,alp","130"
"udi,ult,eda,end,nam,epo,kan","128"
"lit,ega,ext,iat,qui,iwa,rte","126"
"ape,sio","125"
"two,iel,ilw,rab,ace,sei,tch","120"
"use,ves,gar,rag,ato","119"
"kyo,ubl,lwa,val,ono,pub","117"
"oco","115"
"wat,ple","114"
"ese,osh,out,abi,acc,rli,alm,rpr,arr,ssi,kor","112"
"ins","434"
"leu,ubi,mas,ena,igh,aud","110"
"eas","432"
"lor,dic,unt,nel,hem,him,sai","108"
"enc,orp,ree","429"
