"Blocking Key Value","Frequency"
"cca","6"
"ksi","1"
"ksh","7"
"koç","1"
"ksj","1"
"cce","6"
"ksm","4"
"?ná","1"
"kso","3"
"cci","5"
"cch","1"
"ksp","3"
"kss","3"
"ccm","1"
"ccl","1"
"kst","6"
"cco","20"
"ksw","4"
"ksy","1"
"teb","3"
"tea","15"
"ccs","1"
"ted","42"
"ccr","1"
"tec","66"
"tef","4"
"cct","1"
"tee","59"
"ccw","1"
"teh","5"
"teg","15"
"tej","1"
"kta","2"
"tei","9"
"tel","125"
"tek","15"
"ten","34"
"kte","5"
"tem","56"
"tep","6"
"ktg","1"
"teo","5"
"ter","166"
"cda","1"
"kti","8"
"tet","7"
"tes","27"
"tev","4"
"tex","18"
"kto","2"
"tew","3"
"ktr","2"
"cdi","1"
"kts","2"
"taú","2"
"cdm","1"
"ktu","1"
"cdp","1"
"tfa","1"
"cdo","3"
"tfe","1"
"kua","1"
"tfi","9"
"ürk","4"
"cdw","1"
"kub","4"
"kue","6"
"tfl","1"
"ürn","2"
"kug","1"
"tfo","3"
"cea","16"
"kui","1"
"kuh","3"
"cec","5"
"ceb","8"
"kuj","1"
"tfr","3"
"cee","1"
"kum","4"
"ced","10"
"ceg","1"
"kuo","1"
"cef","2"
"kun","2"
"cei","5"
"ceh","2"
"cek","2"
"kus","7"
"kur","12"
"cem","30"
"cel","28"
"kut","1"
"kuw","9"
"cen","60"
"kuy","4"
"cep","5"
"tga","7"
"ces","82"
"cer","25"
"kuz","1"
"tgc","3"
"ceu","3"
"cet","7"
"tge","4"
"cew","1"
"cey","3"
"tgl","3"
"cez","1"
"pão","1"
"tgo","1"
"tgr","3"
"üst","1"
"cfa","1"
"kvi","1"
"tgu","3"
"cfi","4"
"tha","28"
"cfo","3"
"thc","16"
"thb","4"
"the","65"
"cfs","1"
"thd","5"
"thf","3"
"kwa","1"
"thi","17"
"thk","2"
"thj","1"
"kwe","4"
"thl","2"
"tho","16"
"thn","3"
"kwi","1"
"kwh","1"
"thp","3"
"ths","12"
"thr","8"
"cge","1"
"thu","4"
"tht","2"
"thw","5"
"cgi","2"
"thy","2"
"cgh","1"
"cgl","2"
"tib","4"
"tia","23"
"tid","1"
"cgr","2"
"tic","66"
"tif","7"
"tie","45"
"tig","7"
