"Blocking Key Value","Frequency"
"cca","4"
"ksi","1"
"ksh","3"
"koç","2"
"ksj","1"
"cce","3"
"kso","2"
"cci","4"
"cch","1"
"kss","3"
"ccm","1"
"kst","2"
"cco","12"
"ksw","2"
"tea","5"
"ccs","2"
"ted","28"
"ccr","2"
"tec","20"
"tef","2"
"tee","38"
"teg","7"
"tei","6"
"tel","67"
"tek","10"
"ten","22"
"kte","4"
"tem","20"
"tep","2"
"ktg","2"
"teo","2"
"ter","88"
"cda","2"
"kti","1"
"tet","3"
"tes","20"
"tev","2"
"tex","10"
"ktr","1"
"taú","4"
"cdo","2"
"kua","1"
"tfi","5"
"cdw","1"
"kub","3"
"kue","7"
"tfl","1"
"ürn","2"
"kug","2"
"tfo","3"
"cea","9"
"kui","1"
"th3","1"
"kuh","4"
"cec","2"
"ceb","6"
"kuj","2"
"cee","2"
"ced","8"
"kuo","2"
"cef","1"
"kun","1"
"cei","1"
"ceh","2"
"cek","2"
"kur","1"
"cem","14"
"cel","15"
"kut","1"
"kuw","6"
"cen","36"
"tga","2"
"ces","55"
"cer","9"
"cet","1"
"cex","1"
"tgl","2"
"cez","2"
"tgp","1"
"pão","1"
"tgo","2"
"tgr","1"
"üst","1"
"kvi","2"
"tgu","1"
"tha","18"
"thc","7"
"thb","2"
"the","28"
"cfs","1"
"thf","1"
"thi","2"
"thk","2"
"kwe","6"
"thl","1"
"kwg","1"
"tho","15"
"thn","3"
"thp","4"
"ths","6"
"thr","2"
"thu","1"
"tht","2"
"thw","3"
"cgi","2"
"thy","2"
"cgn","1"
"tia","21"
"tic","28"
"tif","6"
"tie","54"
"tig","3"
"tij","2"
"til","9"
"tin","42"
"tim","5"
"tio","30"
"tir","3"
"cha","40"
"chd","4"
"tit","1"
"chc","4"
"tis","21"
"tiv","24"
"che","58"
"tix","2"
"tiz","4"
"chi","41"
"chl","2"
"chn","4"
"chm","3"
"chp","1"
"tja","5"
"cho","11"
"chr","10"
"cht","1"
"tje","1"
"chs","4"
"chu","16"
"kya","2"
"chw","2"
"kyb","2"
"cia","22"
"cic","4"
"cib","2"
"cie","12"
"kym","2"
"tju","1"
"cid","2"
"cig","2"
"kyo","18"
"cif","18"
"tjx","2"
"cim","5"
"kyu","10"
"cio","5"
"kyw","1"
"cin","10"
"cip","4"
"tka","2"
"cis","8"
"cir","2"
"cit","23"
"tkr","1"
"cjc","2"
"kzo","2"
"tla","12"
"tle","5"
"tlf","1"
"tli","4"
"tlo","2"
"cka","4"
"ckc","1"
"cke","14"
"ckd","2"
"ckg","2"
"cki","6"
"ckh","3"
"ckl","2"
"ckp","2"
"tma","2"
"cks","3"
"ckr","4"
"tmc","2"
"ckt","1"
"tme","1"
"ckw","4"
"tmi","5"
"tmo","1"
"cla","8"
"cle","7"
"cli","1"
"clp","2"
"tna","5"
"clo","2"
"tne","10"
"tni","1"
"tnk","1"
"tnl","1"
"tno","1"
"cme","3"
"cié","2"
"ciè","2"
"cmo","2"
"tob","6"
"cmp","1"
"cms","2"
"tod","3"
