"Blocking Key Value","Frequency"
"cca","622"
"ccc","188"
"ccb","33"
"cce","1644"
"ccd","35"
"ccg","56"
"ccf","19"
"a¡i","1"
"cci","532"
"cch","200"
"cck","12"
"ccj","4"
"ccm","97"
"ccl","240"
"cco","2324"
"ce1","66"
"ccn","30"
"ce0","2"
"ccq","3"
"ce3","70"
"ccp","98"
"ce2","115"
"ccs","174"
"ce5","16"
"ccr","235"
"ce4","80"
"ccu","272"
"ce7","15"
"cct","101"
"ce6","3"
"ccw","26"
"ce9","4"
"ccv","12"
"ce8","7"
"ccy","13"
"ccx","7"
"ccz","10"
"cdb","25"
"co?","1"
"cda","156"
"cdd","9"
"cdc","89"
"cdf","28"
"???","1"
"cde","456"
"cdh","28"
"cdg","27"
"cdj","10"
"cdi","308"
"cdl","33"
"cdk","15"
"cdn","32"
"p??","1"
"cdm","81"
"cdp","53"
"cdo","348"
"???","3"
"cdr","65"
"cdq","3"
"cf3","2"
"cdt","24"
"cf6","1"
"cds","104"
"cdv","10"
"cdu","15"
"ar?","1"
"cdx","4"
"cdw","16"
"cdz","2"
"on?","1"
"cdy","13"
"cea","1690"
"cec","1456"
"???","1"
"???","2"
"ceb","556"
"cee","773"
"ced","2146"
"ceg","342"
"cef","426"
"cei","659"
"ceh","420"
"cek","94"
"cej","64"
"cem","1221"
"cel","3010"
"ceo","347"
"cg1","2"
"cen","10574"
"ceq","50"
"cg3","4"
"???","1"
"?de","1"
"cep","1963"
"cg2","3"
"n‘t","1"
"ces","12441"
"cg5","1"
"cer","2206"
"cg4","2"
"ceu","307"
"cet","798"
"cg6","2"
"cew","316"
"cev","190"
"cey","98"
"cex","162"
"cez","41"
"???","1"
"cfb","16"
"cfa","134"
"cfd","26"
"cfc","54"
"cff","9"
"cfe","60"
"cfh","8"
"cfg","15"
"cfj","4"
"cfi","238"
"cfl","59"
"cfk","4"
"cfn","11"
"ch0","1"
"cfm","55"
"cfp","50"
"ch2","104"
"n’t","1"
"cfo","284"
"ch1","34"
"n’s","2"
"cfr","73"
"ch4","90"
"cfq","1"
"ch3","40"
"cft","13"
"ch6","5"
"cfs","64"
"ch5","20"
"cfv","5"
"ch8","7"
"cfu","50"
"ch7","3"
"cfx","8"
"cfw","4"
"ch9","10"
"cfz","5"
"cfy","2"
"???","1"
"cga","121"
"cgc","57"
"cgb","24"
"k?h","1"
"cge","114"
"cgd","14"
"cgg","12"
"cgf","11"
"ng?","1"
"cgi","127"
"cgh","26"
"ce©","1"
"cgk","4"
"???","1"
"cgj","2"
"???","1"
"cgm","236"
"cgl","306"
"cgo","65"
"cgn","16"
"cgq","1"
"ci3","3"
"ce®","18"
"cgp","62"
"ci2","9"
"cgs","81"
"ci5","2"
"cgr","161"
"ci4","1"
"cgu","46"
"ce²","1"
"cgt","27"
"ci6","1"
"cgw","6"
"cgv","7"
"ci8","2"
"cgy","9"
"cgx","2"
"?le","1"
"???","1"
"chb","338"
"cha","8189"
"chd","422"
"?in","2"
"chc","645"
"chf","229"
"che","6861"
"chh","229"
"chg","211"
"chj","21"
"chi","6695"
"©20","1"
"chl","669"
"chk","85"
"chn","3666"
"chm","900"
"???","1"
"chp","1009"
"cj2","1"
"cho","2930"
"chr","1591"
"chq","9"
"cj3","1"
"cht","766"
"chs","1138"
"chv","96"
"chu","1020"
"chx","17"
"chw","347"
"chz","15"
"chy","115"
"n“k","1"
"cia","10885"
"???","2"
"cic","424"
"cib","164"
"cie","3382"
"cid","369"
"cig","196"
"cif","1885"
"cii","76"
"cih","33"
"cik","24"
"cij","9"
"cim","408"
"cil","554"
"cio","813"
"ck1","16"
"cin","3098"
"ck0","1"
"ciq","15"
"ck3","5"
"cip","669"
"ck2","33"
"cis","1832"
"ck5","10"
"cir","749"
"ck4","15"
"ciu","63"
"ck7","4"
"cit","3518"
"ck6","3"
"ciw","18"
"ck9","15"
"civ","737"
"ck8","8"
"cix","15"
"ciz","13"
"???","1"
"cjb","21"
"cja","47"
"cjd","10"
"cjc","36"
"©2h","1"
"cjf","11"
"cje","31"
"cjh","9"
"cjg","9"
"???","1"
"cjj","1"
"cji","9"
"cjl","16"
"cjk","12"
"cjn","5"
"???","1"
"cjm","41"
"ch®","8"
"cjp","22"
"cl2","6"
"cjo","28"
"cl1","1"
"ch°","1"
"cjr","24"
"cjt","14"
"cjs","50"
"cjv","5"
"cju","12"
"cl7","1"
"60?","1"
"???","1"
"cjx","1"
"ay?","1"
"cjw","7"
"cjz","1"
"cjy","1"
"a??","1"
"bj?","1"
"a©a","1"
"cka","852"
"a©c","1"
"ckc","363"
"???","1"
"a©b","1"
"ckb","327"
"???","1"
"cke","1722"
"ckd","235"
"ckg","104"
"ckf","167"
"cki","608"
"ckh","267"
"ckk","39"
"ckj","28"
"???","1"
"ckm","368"
"ckl","420"
"cko","221"
"cm1","2"
"ckn","139"
"ckq","3"
"cm3","5"
"ckp","483"
"cm2","16"
"cks","1418"
"cm5","1"
"a©r","4"
"ckr","453"
"cm4","1"
"???","1"
"cku","71"
"cm7","1"
"???","1"
"ckt","264"
"ckw","318"
"ckv","51"
"cky","287"
"a©x","1"
"ckx","15"
"ckz","7"
"clb","24"
"e?e","1"
"cla","2059"
"on?","1"
"cld","36"
"???","1"
"clc","78"
"clf","21"
"cle","3348"
"clh","14"
"y??","1"
"clg","23"
"clj","6"
"cli","1510"
"cll","64"
"???","1"
"clk","10"
"cln","24"
"clm","47"
"clp","60"
"cn2","3"
"e02","3"
"clo","2386"
"cn1","1"
"e01","4"
"clr","23"
"e04","1"
"clq","1"
"cn3","2"
"clt","59"
"cls","111"
"cn5","1"
"e05","3"
"clv","8"
"cn8","1"
"e08","1"
"clu","1252"
"clx","6"
"clw","9"
"e09","1"
"clz","2"
"???","1"
"cly","52"
"???","1"
"???","1"
"?sc","1"
"cma","870"
"cmc","181"
"cmb","59"
"cme","987"
"cmd","67"
"cmg","74"
"cmf","51"
"n?o","1"
"cmi","247"
"§sh","1"
"cmh","32"
"cmk","22"
"cmj","13"
"cmm","78"
"ne?","1"
"cml","34"
"cmo","232"
"co1","8"
"e11","24"
"a«n","1"
"cmn","30"
"co0","1"
"e10","79"
"cmq","1"
"co3","15"
"e13","12"
"ck®","1"
"cmp","137"
"co2","52"
"e12","26"
"cms","324"
"co5","2"
"e15","11"
"cmr","57"
"co4","3"
"e14","12"
"oe?","1"
"cmu","71"
"co7","1"
"e17","10"
"cmt","62"
"co6","2"
"e16","10"
"??g","1"
"cmw","29"
"co9","1"
"e19","16"
"??h","1"
"ck´","1"
"cmv","19"
"co8","1"
"e18","20"
"ck·","1"
"cmy","18"
"cmx","13"
"cmz","4"
"cnb","29"
"cna","124"
"cnd","17"
"cnc","135"
"cnf","10"
"e0f","2"
"cne","436"
"cnh","24"
"cng","38"
"cnj","12"
"cni","132"
"cnl","34"
"cnk","11"
"cnn","19"
"cp0","1"
"e20","75"
"hp?","1"
"cnm","20"
"e0m","2"
"cl®","2"
"cnp","31"
"cp2","4"
"e22","19"
"cno","584"
"cp1","2"
"e21","55"
"ue?","1"
"cnr","34"
"cp4","1"
"e24","69"
"a€m","1"
"cnq","3"
"cp3","3"
"e23","9"
"ne?","1"
"cnt","27"
"e26","11"
"cns","69"
"e25","10"
"cnv","21"
"e28","6"
"n•c","1"
"cnu","26"
"e27","9"
"cnx","8"
"e0x","1"
"cnw","16"
"e29","7"
"cnz","7"
"cny","26"
"???","1"
"coa","2828"
"e1a","11"
"coc","899"
"e1c","4"
"cob","615"
"e1b","2"
"n•f","1"
"???","1"
"coe","820"
"e1e","8"
"?ne","1"
"cod","1145"
"e1d","6"
"cog","558"
"e1g","2"
"cof","508"
"e1f","1"
"coi","601"
"e1i","3"
"n•m","1"
"coh","271"
"e1h","2"
"cok","38"
"e1k","1"
"coj","17"
"e1j","1"
"com","32543"
"e1m","11"
"col","4297"
"e1l","4"
"coo","1629"
"e31","4"
"con","25515"
"e1n","3"
"e30","7"
"coq","19"
"e33","12"
"cop","1485"
"e1p","11"
"e32","8"
"n•t","1"
"cos","2756"
"e1s","38"
"e35","4"
"cor","6353"
"e1r","6"
"e34","9"
"s??","1"
"cou","2349"
"e1u","2"
"e37","12"
"cm²","1"
"cot","1448"
"e1t","9"
"e36","157"
"cow","289"
"e1w","1"
"e39","4"
"cov","1913"
"e1v","2"
"e38","7"
"???","1"
"coy","155"
"cox","155"
"e1x","1"
"coz","50"
"cpb","15"
"e2b","30"
"?we","1"
"cpa","913"
"e2a","11"
"a®d","1"
"cpd","39"
