"Blocking Key Value","Frequency"
"yam,dat,inf,inn,eve","50"
"chi,pay,nat,exc,ori,tat","48"
"tex,cro,cru,pol,hal,dia,iro,acc,roc,fer,wil,sco,sei,woo","18"
"goo,pan,tom,lon,dig,vir,rec,ava,bal","16"
"ter,kuw,toh,tow,lea,hai,dol,mos,vie,red,ros,bas,fun","15"
"peo,tor,cou,hyd,bur","14"
"clo,tak","13"
"cel,pai,coc,pop,liv,has,pra,hei,dha,qat,hua,max,mel,qua,edi,imp,ing,reg,ita,ric,alf,ali,nex,ama,sab,win,bai,ab,ben,sim,gs,fro,fuj,sur,xia,cam,cap,cas","12"
"sen","11"
"gra,hel,eur,asi,avi,str","45"
"tha,chr,cla,cno,pin,tur,hil,mil,mir,qui,ins,ran,emp,vol,alt,jam,ast,atl,fai,ber,sky,smi,off,spr,sk,suz,ora","10"
"mas,mol,ene,fre","44"
"kyo,nas,fas,sev,bev,fos","9"
"phi,lin,deu,roy,nov,far,kan","42"
"j,tir,gro,tot,pru,dep,hol,hos,dyn,vis,ada,ema,alp,rus,jew,was,war,joh,sav,scr,fla,bla,blo,sna,blu,soc,bol,ove","8"
"pos,her,ara,aus,kin","40"
"sof","38"
"cor,est,asa,sem,she,fra,lg","36"
"chu,dev,val,app,wal,sup,kon","35"
"hot","34"
"int","666"
"coo,don,rel,nis","33"
"hea","650"
"pen,pre,inv","32"
"ame","640"
"new","636"
"con","608"
"aut","540"
"cen","510"
"mar","493"
"med","468"
"shi","462"
"god,tim,dom,vic,nic,ash,fed,spi,kir","7"
"ban","2640"
"cer,tho,tia,cig,pep,ton,tos,lar,pun,dar,yor,hop,yua,hun,qin,usa,mei,miz,que,mtn,mur,inc,ray,abb,abu,emi,vod,nav,ess,nep,alu,amc,rob,jac,nin,apa,fac,jin,sap,sas,fid,bak,sca,fis,bay,al,sek,sia,boe,sui,key,tar","6"
"ele","2550"
"lei,pot,dae,hir,ide,isr,rem,env,rub,jia,bat,bei,bel,sie,boo,kei,swe,oor","5"
"pro","1798"
"gui,cop,cot,lat,hat,lot,dav,luk,ult,map,mig,mou,zin,edu,mut,vin,rak,viv,adi,eng,age,agi,neg,alb,ale,alr,amb,amo,amp,and,anh,ang,nik,nit,att,aur,non,nom,wan,whi,fib,bce,fle,jun,bes,bil,oce,kt,nh,bor,bou,kaj,kas,sm,ope,gaz,gem,koh,kom,cbs","4"
"com","1458"
"tes,1,thi,cir,guo,gun,tou,cog,pir,leg,hak,cyb,pul,lor,dee,ugi,dic,hum,dow,mai,mak,meg,ici,van,eba,via,ram,ire,ise,aec,iwa,nam,eri,ana,nid,aud,ave,wei,nut,sba,baj,sdi,jul,di,sig,bli,fub,som,nv,re,kel,ker,st,opt,kim,ore,geo,kra","3"
"res","1430"
"kub,a,i,t,y,tin,cim,kyu,too,pip,pio,las,lau,leo,leu,cum,pok,pon,hap,lix,hes,loc,ubs,dah,dam,lun,yon,hoy,yum,hug,hut,upl,hwa,mae,ura,hya,uti,dub,duk,mis,ibm,ica,icb,3i,idb,zim,var,ves,ill,inb,inp,raj,aar,zte,act,ade,eli,rex,ito,eme,rit,ris,aid,esp,ala,ald,alc,nes,etr,alm,amg,rol,jab,exe,ext,are,asu,jer,jfe,axa,fal,fan,aya,wen,nuc,nvi,who,sac,saf,fia,bab,bae,sce,an,au,bbv,seb,ca,cj,bed,do,dr,wol,foc,fon,fox,sir,hp,ska,smc,kb,fud,ful,sod,bmw,squ,kao,kbc,oji,old,oly,omn,sl,sp,ono,bui,bun,kia,gai,byd,xer,kob,tal,tcl","2"
"ind","1408"
"gle,tev,3,cdw,cgi,cic,cis,pea,gud,cme,cms,tsi,tsu,csl,tui,csx,lev,cul,poi,pou,yar,ppl,hab,lil,tys,hca,hcl,yes,pud,hew,lod,low,ubi,dal,hit,uco,luf,dec,lup,lux,luz,dgb,lyo,dio,yus,yut,hus,doo,may,maz,mcc,mcd,mcl,mea,men,duf,dut,dxc,77,zij,vak,ihi,ved,veg,edp,mun,zoe,vip,rao,viz,eis,iri,iss,isu,acs,itc,vmw,rey,vor,enc,aff,eni,voy,eog,agn,riy,ahl,aho,nbd,eqt,ais,aka,ned,eti,rog,row,ann,aoz,exx,amé,ark,arr,asm,ath,ato,fab,wey,fem,nvr,whe,wip,wis,nür,jpm,sbi,fif,bbm,bp,jsw,cd,ck,cp,flu,ct,bey,en,fou,bid,occ,skf,it,fue,li,fuk,fuy,soi,soj,mt,bom,bov,kai,oi,kap,ola,kdd,sub,oma,sf,omr,swa,buy,vf,sym,xl,osa,osk,kla,otp,ots,ger,owe,kos,xil,tay,gil,cbr,tdk","1"
"uni","1248"
"pow","1215"
"ste","810"
"tel","672"
"tra","451"
"sys","444"
"sta","434"
"pet","420"
"min","418"
"mit","400"
"foo","392"
"tru","378"
"fir","352"
"gen","341"
"car","340"
"bra","336"
"air","324"
"can","312"
"sto","310"
"nip","297"
"for","294"
"tai","286"
"par,wes","264"
"san","256"
"sha","255"
"met","253"
"all","247"
"exp,sec","240"
"dai","231"
"che","228"
"glo,sun","210"
"sum","209"
"mer","200"
"cha,lan","198"
"net","192"
"cit","190"
"oil","189"
"dis,wor,bro","182"
"jap","176"
"lif,nor","170"
"pac,gre","168"
"han","160"
"sam","153"
"mic,rea","144"
"ass","143"
"tok","136"
"gru,bri","135"
"mat","126"
"man,fin","120"
"eas,gas","112"
"rai","110"
"mon,sin","108"
"del","96"
"cem,pri","95"
"kor","91"
"tec","85"
"sou","84"
"den","78"
"ver","77"
"mob","76"
"gol","75"
"cre,pla,har","72"
"hyu,ser,one,cat","70"
"mor","68"
"ten,gla,gua,len,equ,wat,sai,syn,gal","30"
"daq,hor,rep,aer,sch,spa,gar","28"
"mid,ant,sci,sea,bre,bus","27"
"pha","26"
"cho,coa,pub,nan","25"
"tob,lib,log,des,hom,mah,rei,adv,art,bos,gam,cal","24"
"sol","23"
"hok,ret","66"
"pho,hin","22"
"per","64"
"the,mag,eco,isl,wel,spe,us","21"
"cin,bio","63"
"pap,top,lab,tre,ven,mus,sal,son,swi","20"
"toy,col,cos,mac,agr,arc","60"
"hon,sau","56"
"hou","55"
"por,dan,mot,bar","54"
"ren,ent,sho","52"
