"dbpedia_1005","Kaggle_2538262","0.0","0.0","0.4465075154730327","Coca-Cola Bottling Co. Consolidated","lufkin coca cola bottling company"
"dbpedia_1016","Kaggle_2386464","0.0","0.0","0.5847578347578347","Colgate-Palmolive","colgate-palmolive nederland b.v."
"dbpedia_1017","Kaggle_2037136","0.0","0.0","0.44852941176470584","Colliers (company)","gigil: the ideas company"
"dbpedia_1017","Kaggle_2039079","0.0","0.0","0.41083916083916083","Colliers (company)","crosslists, cross & company inc."
"dbpedia_1017","Kaggle_2402455","0.0","0.0","0.4017094017094017","Colliers (company)","proprietary company"
"dbpedia_1017","Kaggle_3033069","0.0","0.0","0.45961538461538465","Colliers (company)","colonial trust company"
"dbpedia_1023","Kaggle_1727691","0.0","0.0","0.39652014652014655","Color Marketing Group","procon events and marketing"
"dbpedia_1023","Kaggle_2272940","0.0","0.0","0.4237967914438503","Color Marketing Group","stratego marketing"
"dbpedia_1023","Kaggle_2484594","0.0","0.0","0.42995169082125606","Color Marketing Group","mcbratney marketing"
"dbpedia_1023","Kaggle_2614058","0.0","0.0","0.6150793650793651","Color Marketing Group","corsa marketing"
"dbpedia_1023","Kaggle_2740847","0.0","0.0","0.3845454545454545","Color Marketing Group","for marketing matters llc"
"dbpedia_1023","Kaggle_2935149","0.0","0.0","0.39548494983277593","Color Marketing Group","martin contract marketing & communications"
"dbpedia_1023","Kaggle_3223575","0.0","0.0","0.5987394957983193","Color Marketing Group","loa marketing, inc."
"dbpedia_1023","Kaggle_3343765","0.0","0.0","0.8104166666666667","Color Marketing Group","colour marketing"
"dbpedia_1023","Kaggle_3397552","0.0","0.0","0.48550724637681164","Color Marketing Group","solution x marketing"
"dbpedia_1026","Kaggle_2230263","0.0","0.0","0.5912698412698413","Comfort Systems USA","weis comfort systems inc"
"dbpedia_1029","Kaggle_2924497","0.0","0.41379310344827586","0.0","Commercial Bank of Dubai","national commercial bank"
"dbpedia_1030","Kaggle_1772737","0.3103448275862069","0.2571428571428571","0.3951724137931034","Commercial Bank of Qatar","commercial property network"
"dbpedia_1030","Kaggle_2593012","0.0","0.0","0.5880952380952381","Commercial Bank of Qatar","m1 commercial"
"dbpedia_1030","Kaggle_2685871","0.0","0.0","0.43517241379310345","Commercial Bank of Qatar","commercial safety assurance"
"dbpedia_1031","Kaggle_1739671","0.0","0.0","0.38247282608695654","Commercial Metals Company","ammar bilal & company"
"dbpedia_1031","Kaggle_1825570","0.0","0.0","0.46776611694152925","Commercial Metals Company","renhe commercial holdings company limited"
"dbpedia_1031","Kaggle_1949601","0.0","0.0","0.6308243727598566","Commercial Metals Company","commercial installers company"
"dbpedia_1031","Kaggle_1963371","0.0","0.0","0.44178628389154706","Commercial Metals Company","oriental commercial and shipping company limited"
"dbpedia_1031","Kaggle_2332117","0.0","0.0","0.49722222222222223","Commercial Metals Company","commercial lithographing company, inc."
"dbpedia_1031","Kaggle_2522169","0.0","0.0","0.37374581939799334","Commercial Metals Company","coutts & company"
"dbpedia_1031","Kaggle_2614566","0.0","0.0","0.3897515527950311","Commercial Metals Company","cmm level 5 company"
"dbpedia_1031","Kaggle_2747708","0.0","0.0","0.39977134146341464","Commercial Metals Company","commercial environmental solutions, inc"
"dbpedia_1031","Kaggle_2815201","0.0","0.0","0.3736413043478261","Commercial Metals Company","commercial sign crafters"
"dbpedia_1031","Kaggle_2988702","0.0","0.0","0.45878378378378376","Commercial Metals Company","kuwait commercial markets complex company"
"dbpedia_1031","Kaggle_3033881","0.0","0.0","0.5133004926108374","Commercial Metals Company","commercial gear & sprocket company, inc."
"dbpedia_1031","Kaggle_3249677","0.0","0.0","0.42503748125937035","Commercial Metals Company","comercial jesuman s.a."
"dbpedia_1031","Kaggle_3288338","0.0","0.0","0.39420289855072466","Commercial Metals Company","dr commercial realty"
"dbpedia_1032","Kaggle_1772737","0.28125","0.0","0.380625","Commercial National Financial","commercial property network"
"dbpedia_1032","Kaggle_2009320","0.0","0.0","0.3900966183574879","Commercial National Financial","condor commercial"
"dbpedia_1032","Kaggle_2069686","0.0","0.0","0.3871610845295056","Commercial National Financial","plus commercial information services"
"dbpedia_1032","Kaggle_2333535","0.0","0.0","0.38869565217391305","Commercial National Financial","first national commercial"
"dbpedia_1032","Kaggle_2358158","0.0","0.0","0.41261574074074076","Commercial National Financial","commercial advisory solutions"
"dbpedia_1032","Kaggle_2515013","0.0","0.0","0.4747311827956989","Commercial National Financial","commercial litigation association limited"
"dbpedia_1032","Kaggle_2520283","0.0","0.0","0.4312865497076023","Commercial National Financial","6/10 commercial"
"dbpedia_1032","Kaggle_2680227","0.0","0.0","0.40576923076923077","Commercial National Financial","société commerciale clément internationale inc."
"dbpedia_1032","Kaggle_2843361","0.0","0.0","0.4311342592592593","Commercial National Financial","commercial facility solutions, inc."
"dbpedia_1032","Kaggle_2924497","0.7","0.45161290322580644","0.0","Commercial National Financial","national commercial bank"
"dbpedia_1032","Kaggle_2935323","0.0","0.0","0.3784829721362229","Commercial National Financial","commercial waterproofing & restoration inc."
"dbpedia_1032","Kaggle_3082773","0.0","0.0","0.506896551724138","Commercial National Financial","commercial applications pty ltd"
"dbpedia_1032","Kaggle_3216784","0.0","0.0","0.4432900432900433","Commercial National Financial","the commercial law association of australia"
"dbpedia_1033","Kaggle_1755687","0.45161290322580644","0.0","0.5458064516129032","Community Health Systems","community health connection"
"dbpedia_1033","Kaggle_1772338","0.0","0.0","0.42787456445993033","Community Health Systems","community health centers of the rutland region"
"dbpedia_1033","Kaggle_1782875","0.0","0.0","0.450915750915751","Community Health Systems","unitas community health and safety services"
"dbpedia_1033","Kaggle_1811746","0.0","0.0","0.5013440860215054","Community Health Systems","casse community health inst"
"dbpedia_1033","Kaggle_1833082","0.0","0.0","0.6679841897233202","Community Health Systems","community health tv"
"dbpedia_1033","Kaggle_1929851","0.0","0.0","0.6397849462365592","Community Health Systems","eagle view community health system"
"dbpedia_1033","Kaggle_1939426","0.0","0.0","0.4176111595466434","Community Health Systems","regent park community health centre"
"dbpedia_1033","Kaggle_1946322","0.0","0.0","0.4564176245210728","Community Health Systems","sunshine community health center"
"dbpedia_1033","Kaggle_2021765","0.0","0.0","0.5674662668665668","Community Health Systems","community health magazine"
"dbpedia_1033","Kaggle_2026870","0.0","0.0","0.49011857707509876","Community Health Systems","community help"
"dbpedia_1033","Kaggle_2038669","0.0","0.0","0.6462450592885376","Community Health Systems","community systems group, inc."
"dbpedia_1033","Kaggle_2080824","0.0","0.0","0.5183284457478006","Community Health Systems","evolution health systems inc."
"dbpedia_1033","Kaggle_2098637","0.0","0.0","0.49560117302052786","Community Health Systems","berkshire health systems, inc."
"dbpedia_1033","Kaggle_2101997","0.0","0.0","0.4129881154499151","Community Health Systems","owensboro community health network"
"dbpedia_1033","Kaggle_2114873","0.0","0.0","0.4291171477079796","Community Health Systems","river hills community health center"
"dbpedia_1033","Kaggle_2174514","0.0","0.0","0.4728739002932551","Community Health Systems","englewood health systems, inc."
"dbpedia_1033","Kaggle_2402604","0.0","0.0","0.44176470588235295","Community Health Systems","arc community support system"
"dbpedia_1033","Kaggle_2425102","0.0","0.0","0.6001683501683501","Community Health Systems","community health clinic, inc."
"dbpedia_1033","Kaggle_2460153","0.0","0.0","0.3996328029375765","Community Health Systems","community health center of northeast oklahoma"
"dbpedia_1033","Kaggle_2479188","0.0","0.0","0.38289473684210523","Community Health Systems","dunbar community mental health mental health s"
"dbpedia_1033","Kaggle_2481052","0.0","0.0","0.40900900900900905","Community Health Systems","clarkston community health clinic"
"dbpedia_1033","Kaggle_2639327","0.0","0.0","0.390970515970516","Community Health Systems","kent community health nhs foundation trust"
"dbpedia_1033","Kaggle_2723315","0.0","0.0","0.395021645021645","Community Health Systems","the energy community"
"dbpedia_1033","Kaggle_2723332","0.0","0.0","0.45967741935483875","Community Health Systems","kedren community health ctr"
"dbpedia_1033","Kaggle_3000718","0.0","0.0","0.39383070301291245","Community Health Systems","victoria community health co-operative"
"dbpedia_1033","Kaggle_3024254","0.0","0.0","0.4945121951219512","Community Health Systems","community healthcare system of northeast kansas"
"dbpedia_1033","Kaggle_3049811","0.0","0.0","0.5275974025974026","Community Health Systems","chc community health ctr"
"dbpedia_1033","Kaggle_3124116","0.0","0.0","0.4388440860215054","Community Health Systems","oxford community health hub"
"dbpedia_1033","Kaggle_3182039","0.0","0.0","0.6456228956228955","Community Health Systems","community health center"
"dbpedia_1033","Kaggle_3251080","0.0","0.0","0.44725370531822145","Community Health Systems","community health endowment of lincoln"
"dbpedia_1033","Kaggle_3317682","0.0","0.0","0.39294871794871794","Community Health Systems","healthsure community health initiative (hchi)"
"dbpedia_1034","Kaggle_2191732","0.0","0.0","0.4048913043478261","Community West Bancshares","community shares of illinois"
