"dbpedia_1005","Kaggle_4324816","0.0","0.0","0.3960597826086957","Coca-Cola Bottling Co. Consolidated","pepsi-cola bottling company of new haven"
"dbpedia_1017","Kaggle_3944542","0.0","0.0","0.38369565217391305","Colliers (company)","it company ""serfcompany"""
"dbpedia_1017","Kaggle_4621476","0.0","0.0","0.41363636363636364","Colliers (company)","the nogging company ltd."
"dbpedia_1023","Kaggle_3692272","0.0","0.0","0.48793859649122806","Color Marketing Group","icon sports marketing"
"dbpedia_1023","Kaggle_4273568","0.0","0.0","0.35635964912280704","Color Marketing Group","aso marketing digital"
"dbpedia_1023","Kaggle_4297246","0.0","0.0","0.3727106227106227","Color Marketing Group","local marketing results"
"dbpedia_1023","Kaggle_4324353","0.0","0.0","0.46464646464646464","Color Marketing Group","ironshark marketing"
"dbpedia_1023","Kaggle_4420372","0.0","0.0","0.3466183574879227","Color Marketing Group","the web and marketing bureau"
"dbpedia_1023","Kaggle_4487995","0.0","0.0","0.45772946859903385","Color Marketing Group","best local marketing"
"dbpedia_1023","Kaggle_4525512","0.0","0.0","0.3681481481481481","Color Marketing Group","soter-martin sales & marketing"
"dbpedia_1023","Kaggle_4581158","0.0","0.0","0.5873015873015873","Color Marketing Group","good marketing"
"dbpedia_1023","Kaggle_4604160","0.0","0.0","0.48550724637681164","Color Marketing Group","golden boy marketing"
"dbpedia_1023","Kaggle_4938954","0.0","0.0","0.39732142857142855","Color Marketing Group","marketing4u.pl"
"dbpedia_1023","Kaggle_5025081","0.0","0.0","0.35782556750298683","Color Marketing Group","coast 2 coast printing & marketing llc"
"dbpedia_1023","Kaggle_5081285","0.0","0.0","0.5547619047619048","Color Marketing Group","3i marketing, inc."
"dbpedia_1023","Kaggle_5160443","0.0","0.0","0.4223057644110275","Color Marketing Group","smarkt ?smart marketing"
"dbpedia_1026","Kaggle_3514261","0.0","0.0","0.36830357142857145","Comfort Systems USA","modern comfort security systems"
"dbpedia_1026","Kaggle_3959002","0.0","0.0","0.38400900900900903","Comfort Systems USA","comfort systems heating & air conditioning"
"dbpedia_1026","Kaggle_3982486","0.0","0.0","0.5227743271221532","Comfort Systems USA","western comfort systems, inc."
