"dataworld_1002","Kaggle_1215876","0.0","0.0","0.4833333333333334","CarMax","carpet max"
"dataworld_1004","Kaggle_754199","0.0","0.0","0.4571428571428572","Staples","the statler"
"dataworld_1009","Kaggle_74546","0.0","0.0","0.49230769230769234","China Cosco Holdings","chinacache"
"dataworld_1010","Kaggle_1447288","0.0","0.0","0.4496753246753247","Kyushu Electric Power","hokuriku electric power company"
"dataworld_1010","Kaggle_1508934","0.0","0.0","0.34514170040485825","Kyushu Electric Power","haddow electrical ltd"
"dataworld_1010","Kaggle_1559039","0.0","0.0","0.3533834586466165","Kyushu Electric Power","cf electric"
"dataworld_1010","Kaggle_712147","0.0","0.0","0.3456183456183456","Kyushu Electric Power","east river electric power cooperative, inc"
"dataworld_1010","Kaggle_858087","0.0","0.0","0.4894179894179894","Kyushu Electric Power","remal electric power, w.l.l."
"dataworld_1010","Kaggle_972497","0.0","0.0","0.3842105263157895","Kyushu Electric Power","kpc power electrical ltd"
"dataworld_1012","Kaggle_28038","0.0","0.0","0.3647058823529412","BCI-Banco Credito","renaissance credit"
"dataworld_1015","Kaggle_1026588","0.0","0.0","0.4933333333333334","Rockwell Automation","protech automation"
"dataworld_1015","Kaggle_198352","0.0","0.0","0.41186252771618626","Rockwell Automation","rockwell automation, global solutions engineering"
"dataworld_1015","Kaggle_41696","0.0","0.0","0.32616487455197135","Rockwell Automation","rick case automotive group"
"dataworld_1020","Kaggle_462565","0.0","0.0","0.36466165413533835","Power Grid of India","orbis india"
"dataworld_1021","Kaggle_692996","0.0","0.0","0.34423076923076923","Nippon Express","vision expert"
"dataworld_1022","Kaggle_843577","0.0","0.0","0.36713735558408217","Gjensidige Forsikring","jernbanepersonalets forsikring gjensidig"
"dataworld_1024","Kaggle_33471","0.0","0.0","0.5916666666666666","LeGrand","legrand (india)"
"dataworld_1026","Kaggle_117128","0.0","0.0","0.7058189655172413","KazMunaiGas Exploration","kazmunaigas exploration production"
"dataworld_1026","Kaggle_1285919","0.0","0.0","0.3369047619047619","KazMunaiGas Exploration","rockhopper exploration plc"
"dataworld_1026","Kaggle_135309","0.0","0.0","0.4318181818181819","KazMunaiGas Exploration","kazmunaigaz"
"dataworld_1026","Kaggle_715767","0.0","0.0","0.44642857142857145","KazMunaiGas Exploration","sparton navigation and exploration"
"dataworld_1026","Kaggle_879756","0.0","0.0","0.5636363636363637","KazMunaiGas Exploration","sanguine gas exploration"
"dataworld_1027","Kaggle_1661853","0.0","0.0","0.4245614035087719","Arab National Bank","lincoln national group"
"dataworld_1027","Kaggle_239028","0.0","0.0","0.33272058823529416","Arab National Bank","national aviation"
"dataworld_1027","Kaggle_421525","0.0","0.6","0.0","Arab National Bank","baraboo national bank"
"dataworld_1027","Kaggle_502971","0.0","0.0","0.3323076923076923","Arab National Bank","arco national construction - kc inc."
"dataworld_1028","Kaggle_1484409","0.0","0.0","0.32894736842105265","Starwood Hotels","hydro hotel"
"dataworld_1029","Kaggle_525171","0.0","0.0","0.35192307692307695","Westfield Retail Trust","federal trust bank"
"dataworld_1029","Kaggle_777258","0.0","0.0","0.3576007326007326","Westfield Retail Trust","greenfield environmental trust group, inc."
"dataworld_102","Kaggle_1003703","0.0","0.0","0.32131410256410253","China Life Insurance","national brokers insurance services inc."
"dataworld_102","Kaggle_1043330","0.0","0.0","0.329185520361991","China Life Insurance","ticor title insurance company"
"dataworld_102","Kaggle_109234","0.0","0.0","0.4304956896551724","China Life Insurance","manulife-sinochem life insurance co., ltd."
"dataworld_102","Kaggle_112018","0.0","0.0","0.40314401622718055","China Life Insurance","equitrust life insurance company"
"dataworld_102","Kaggle_113430","0.0","0.0","0.4274193548387097","China Life Insurance","gerber life insurance company"
"dataworld_102","Kaggle_113475","0.0","0.0","0.3838827838827839","China Life Insurance","icici prudential life insurance company"
"dataworld_102","Kaggle_1202070","0.0","0.0","0.4681712962962963","China Life Insurance","sagicor capital life insurance co. ltd."
"dataworld_102","Kaggle_1229704","0.0","0.0","0.5659937888198757","China Life Insurance","occidental life insurance co"
"dataworld_102","Kaggle_126599","0.0","0.0","0.4528076463560335","China Life Insurance","the dai-ichi life insurance company, limited"
"dataworld_102","Kaggle_1284169","0.0","0.0","0.33522727272727276","China Life Insurance","atlantic charter insurance inc"
"dataworld_102","Kaggle_1323138","0.0","0.0","0.33444444444444443","China Life Insurance","5 star insurance group, llc"
"dataworld_102","Kaggle_1323419","0.0","0.0","0.3399621212121212","China Life Insurance","pca spa - insurance and reinsurance broker"
"dataworld_102","Kaggle_1332352","0.0","0.0","0.3871610845295056","China Life Insurance","dakota capital life insurance company"
"dataworld_102","Kaggle_1337652","0.0","0.0","0.4456896551724138","China Life Insurance","stan darling insurance inc."
"dataworld_102","Kaggle_1349641","0.0","0.0","0.3247466216216216","China Life Insurance","alliance national insurance company"
"dataworld_102","Kaggle_1405517","0.0","0.0","0.41047619047619044","China Life Insurance","life insurance concepts"
"dataworld_102","Kaggle_1418528","0.0","0.0","0.32859078590785906","China Life Insurance","funeral directors life insurance company"
"dataworld_102","Kaggle_1432465","0.0","0.0","0.3629411764705882","China Life Insurance","corinthian insurance agency"
"dataworld_102","Kaggle_1474648","0.0","0.0","0.3276740237691002","China Life Insurance","clinexa life sciences"
"dataworld_102","Kaggle_1486757","0.0","0.0","0.4177777777777778","China Life Insurance","quantum insurance group"
"dataworld_102","Kaggle_1646897","0.0","0.0","0.3284072249589491","China Life Insurance","elite insurance brokers"
"dataworld_102","Kaggle_1657137","0.0","0.0","0.5265700483091788","China Life Insurance","heksa eka life insurance pt"
"dataworld_102","Kaggle_170449","0.0","0.4358974358974359","0.5383522727272727","China Life Insurance","china life insurance (overseas) company limited"
