"dataworld_1003","Kaggle_1885604","0.0","0.0","0.4583333333333333","Coach","coach & coach bv"
"dataworld_1006","Kaggle_1908418","0.0","0.0","0.3404761904761905","Assurant","den ouden assurantien bv"
"dataworld_1009","Kaggle_2224887","0.0","0.0","0.33181818181818185","China Cosco Holdings","o.s. china"
"dataworld_1010","Kaggle_1953121","0.0","0.0","0.34786184210526316","Kyushu Electric Power","magnolia electric power association"
"dataworld_1010","Kaggle_2384647","0.0","0.0","0.35551948051948057","Kyushu Electric Power","electric power engineers, inc"
"dataworld_1010","Kaggle_2517832","0.0","0.0","0.33789473684210525","Kyushu Electric Power","power spot electric"
"dataworld_1010","Kaggle_2561519","0.0","0.0","0.3355263157894737","Kyushu Electric Power","brp electrical"
"dataworld_1010","Kaggle_2562989","0.0","0.0","0.3568421052631579","Kyushu Electric Power","asap electrical"
"dataworld_1010","Kaggle_3137768","0.0","0.0","0.3605263157894737","Kyushu Electric Power","4d electric"
"dataworld_1015","Kaggle_1831132","0.0","0.0","0.593103448275862","Rockwell Automation","rockwell automation india private limited"
"dataworld_1015","Kaggle_2023578","0.0","0.0","0.35444444444444445","Rockwell Automation","aei automation gmbh"
"dataworld_1015","Kaggle_2390633","0.0","0.0","0.6746031746031746","Rockwell Automation","maxwell automation"
"dataworld_1015","Kaggle_2975719","0.0","0.0","0.3566997518610422","Rockwell Automation","industrial automation and motion"
"dataworld_1015","Kaggle_3450771","0.0","0.0","0.48830409356725146","Rockwell Automation","i2i automation inc"
"dataworld_1021","Kaggle_2464005","0.0","0.0","0.47773279352226716","Nippon Express","willow express"
"dataworld_1025","Kaggle_3295404","0.0","0.0","0.3682352941176471","Dai Nippon Printing","california apparel and printing"
"dataworld_1026","Kaggle_1925517","0.0","0.0","0.33270676691729323","KazMunaiGas Exploration","scientific exploration society"
"dataworld_1026","Kaggle_2303390","0.0","0.0","0.3369047619047619","KazMunaiGas Exploration","silverback exploration, llc"
"dataworld_1026","Kaggle_2436292","0.0","0.0","0.5016233766233766","KazMunaiGas Exploration","aziana exploration corporation"
"dataworld_1027","Kaggle_1781528","0.0","0.0","0.5610859728506787","Arab National Bank","varep national"
"dataworld_1027","Kaggle_2750815","0.0","0.0","0.33193277310924374","Arab National Bank","creation nation"
"dataworld_1028","Kaggle_1821977","0.0","0.0","0.4464285714285714","Starwood Hotels","the diamond hotels"
"dataworld_1029","Kaggle_1886738","0.0","0.0","0.31451612903225806","Westfield Retail Trust","wireless retailers"
"dataworld_1029","Kaggle_3269592","0.0","0.0","0.35192307692307695","Westfield Retail Trust","realdeal trust"
"dataworld_102","Kaggle_1816001","0.0","0.0","0.4274193548387097","China Life Insurance","aegon life insurance slovakia"
"dataworld_102","Kaggle_1885994","0.0","0.0","0.3910728910728911","China Life Insurance","philadelphia american life insurance co"
"dataworld_102","Kaggle_1906232","0.0","0.0","0.33226495726495725","China Life Insurance","daedalus life insurance & reinsurance brokers"
"dataworld_102","Kaggle_1918956","0.0","0.0","0.7351778656126482","China Life Insurance","china post life insurance corporation limited"
"dataworld_102","Kaggle_1955751","0.0","0.0","0.43518518518518523","China Life Insurance","healthnet insurance"
"dataworld_102","Kaggle_1978005","0.0","0.0","0.7694444444444444","China Life Insurance","hana life insurance co., ltd."
"dataworld_102","Kaggle_1991758","0.0","0.0","0.4496336996336996","China Life Insurance","china insurance brokers co ltd"
"dataworld_102","Kaggle_2213845","0.0","0.0","0.32396313364055296","China Life Insurance","peninsula general insurance agency, inc."
"dataworld_102","Kaggle_2236950","0.0","0.0","0.3316790736145575","China Life Insurance","clarion | a life sciences consultancy"
"dataworld_102","Kaggle_2253433","0.0","0.0","0.3678571428571428","China Life Insurance","imperial insurance & tax"
"dataworld_102","Kaggle_2482274","0.0","0.0","0.3243371212121212","China Life Insurance","kmd insurance & reinsurance brokerage ltd."
"dataworld_102","Kaggle_2564151","0.0","0.0","0.34301075268817205","China Life Insurance","la france and la france insurance agency inc"
"dataworld_102","Kaggle_2583150","0.0","0.0","0.32002314814814814","China Life Insurance","life insurance company of alabama"
"dataworld_102","Kaggle_2670232","0.5217391304347826","0.0","0.6292906178489703","China Life Insurance","nextia life insurance co., ltd."
"dataworld_102","Kaggle_2696846","0.0","0.0","0.4527777777777778","China Life Insurance","c & m insurance"
"dataworld_102","Kaggle_2804943","0.0","0.0","0.3334845735027223","China Life Insurance","benchmark investments & insurance"
"dataworld_102","Kaggle_2815289","0.0","0.0","0.5805555555555556","China Life Insurance","the life insurance dr"
"dataworld_102","Kaggle_2832876","0.0","0.0","0.471264367816092","China Life Insurance","achieve alpha insurance"
"dataworld_102","Kaggle_2901645","0.0","0.0","0.3648897058823529","China Life Insurance","nepal life insurance co. ltd kathmandu nepal"
"dataworld_102","Kaggle_2954075","0.0","0.0","0.3827503974562798","China Life Insurance","quality health & life insurance services, inc."
"dataworld_102","Kaggle_3022731","0.0","0.0","0.34247967479674796","China Life Insurance","prudential life insurance company of taiwan inc."
"dataworld_102","Kaggle_3034598","0.0","0.0","0.3803571428571429","China Life Insurance","citic-prudential life insurance company ltd."
"dataworld_102","Kaggle_3098299","0.5238095238095238","0.0","0.623015873015873","China Life Insurance","jyf life insurance group"
"dataworld_102","Kaggle_3114002","0.0","0.0","0.36161387631975866","China Life Insurance","cathay life insurance company limited (shanghai)"
