"dataworld_1005","Kaggle_4186360","0.0","0.0","0.2860576923076923","Hang Lung Group","hangzhou meian motor co., ltd"
"dataworld_1006","Kaggle_4506544","0.0","0.0","0.3658088235294118","Assurant","tauris assurances"
"dataworld_1007","Kaggle_4802224","0.0","0.0","0.5151515151515151","Talisman Energy","talis park"
"dataworld_100","Kaggle_4363226","0.0","0.0","0.286096256684492","CVS Caremark","aspire care ltd"
"dataworld_1010","Kaggle_3475959","0.0","0.0","0.2995951417004049","Kyushu Electric Power","precise electric"
"dataworld_1010","Kaggle_3672063","0.0","0.0","0.28775298391281784","Kyushu Electric Power","prionezhskaya electric power networks company"
"dataworld_1010","Kaggle_3738409","0.0","0.0","0.3355263157894737","Kyushu Electric Power","red electrical"
"dataworld_1010","Kaggle_3803113","0.0","0.0","0.31322393822393824","Kyushu Electric Power","industrial electrical projects limited"
"dataworld_1010","Kaggle_3859556","0.0","0.0","0.3176691729323308","Kyushu Electric Power","ms electric company"
"dataworld_1010","Kaggle_3943522","0.0","0.0","0.3008021390374332","Kyushu Electric Power","luso electronic products limited"
"dataworld_1010","Kaggle_4036040","0.0","0.0","0.347953216374269","Kyushu Electric Power","bishop electrical"
"dataworld_1010","Kaggle_4049334","0.0","0.0","0.33299595141700405","Kyushu Electric Power","automatic power, inc."
"dataworld_1010","Kaggle_4122990","0.0","0.0","0.34096109839816935","Kyushu Electric Power","team electric ltd"
"dataworld_1010","Kaggle_4150634","0.0","0.0","0.3057142857142857","Kyushu Electric Power","ampulse electrical services ltd"
"dataworld_1010","Kaggle_4431926","0.0","0.0","0.33052631578947367","Kyushu Electric Power","hurley electric"
"dataworld_1010","Kaggle_4923379","0.0","0.0","0.3216374269005848","Kyushu Electric Power","bdg electrical, llc"
"dataworld_1010","Kaggle_5126310","0.0","0.0","0.3291666666666666","Kyushu Electric Power","electric power bike company ltd"
"dataworld_1012","Kaggle_5203013","0.0","0.0","0.28030888030888035","BCI-Banco Credito","mediobanca banca di credito finanziario"
"dataworld_1015","Kaggle_3583796","0.0","0.0","0.49603174603174605","Rockwell Automation","mcc automation"
"dataworld_1015","Kaggle_3726590","0.0","0.0","0.2822222222222222","Rockwell Automation","gk automotive ltd"
"dataworld_1015","Kaggle_3743723","0.0","0.0","0.3423076923076923","Rockwell Automation","digital automation solutions"
"dataworld_1015","Kaggle_4403553","0.0","0.0","0.593103448275862","Rockwell Automation","rockwell automation do brasil ltda."
"dataworld_1015","Kaggle_4854585","0.0","0.0","0.37606837606837606","Rockwell Automation","arenco automation ab"
"dataworld_1015","Kaggle_4894011","0.0","0.0","0.2807971014492754","Rockwell Automation","racetech automotive india"
"dataworld_1015","Kaggle_4946870","0.9444444444444444","0.9444444444444444","0.945906432748538","Rockwell Automation","rockwell automations"
"dataworld_1015","Kaggle_5255444","0.0","0.0","0.7776679841897234","Rockwell Automation","rockwell automation japan co., ltd."
"dataworld_1020","Kaggle_4265601","0.0","0.0","0.28809523809523807","Power Grid of India","vinod enterprises - india"
"dataworld_1020","Kaggle_4792450","0.0","0.0","0.31521739130434784","Power Grid of India","sportwise india"
"dataworld_1021","Kaggle_4186370","0.0","0.0","0.4107142857142857","Nippon Express","bicycle express"
"dataworld_1025","Kaggle_3491816","0.0","0.0","0.33877995642701525","Dai Nippon Printing","daimon consulting"
"dataworld_1025","Kaggle_4018049","0.0","0.0","0.2826825127334465","Dai Nippon Printing","dainippon sumitoma pharma : sepracor"
"dataworld_1025","Kaggle_4146445","0.64","0.64","0.0","Dai Nippon Printing","dai nippon printing indonesia"
"dataworld_1025","Kaggle_4518427","0.0","0.0","0.32304900181488205","Dai Nippon Printing","principal accounting"
"dataworld_1026","Kaggle_3828251","0.0","0.0","0.35735735735735735","KazMunaiGas Exploration","auriferous exploration & mining co."
"dataworld_1026","Kaggle_4068718","0.0","0.0","0.49090909090909096","KazMunaiGas Exploration","american exploration co"
