"dbpedia_69","dbpedia_70","0.9903225806451612"
"dbpedia_43","dbpedia_44","1.0"
"dbpedia_64","dbpedia_63","1.0"
"dbpedia_49","dbpedia_48","1.0"
"dbpedia_38","dbpedia_37","1.0"
"dbpedia_28","dbpedia_27","1.0"
"dbpedia_31","dbpedia_30","0.95"
"dbpedia_34","dbpedia_33","1.0"
"dbpedia_1300","dbpedia_1299","0.9562499999999999"
"dbpedia_1205","dbpedia_1188","1.0"
"dbpedia_1206","dbpedia_1189","1.0"
"dbpedia_1206","dbpedia_1188","1.0"
"dbpedia_1205","dbpedia_1189","1.0"
"dbpedia_1204","dbpedia_1189","1.0"
"dbpedia_1203","dbpedia_1188","1.0"
"dbpedia_1203","dbpedia_1189","1.0"
"dbpedia_1204","dbpedia_1188","1.0"
"dbpedia_1202","dbpedia_1189","1.0"
"dbpedia_1201","dbpedia_1188","1.0"
"dbpedia_1202","dbpedia_1188","1.0"
"dbpedia_1201","dbpedia_1189","1.0"
"dbpedia_1200","dbpedia_1189","1.0"
"dbpedia_1200","dbpedia_1188","1.0"
"dbpedia_1208","dbpedia_1189","1.0"
"dbpedia_1207","dbpedia_1188","1.0"
"dbpedia_1207","dbpedia_1189","1.0"
"dbpedia_1208","dbpedia_1188","1.0"
"dbpedia_1207","dbpedia_1186","1.0"
"dbpedia_1208","dbpedia_1187","1.0"
"dbpedia_1208","dbpedia_1186","1.0"
"dbpedia_1207","dbpedia_1187","1.0"
"dbpedia_1208","dbpedia_1185","1.0"
"dbpedia_1207","dbpedia_1184","1.0"
"dbpedia_1207","dbpedia_1185","1.0"
"dbpedia_1208","dbpedia_1184","1.0"
"dbpedia_1208","dbpedia_1183","1.0"
"dbpedia_1207","dbpedia_1182","1.0"
"dbpedia_1207","dbpedia_1183","1.0"
"dbpedia_1208","dbpedia_1182","1.0"
"dbpedia_18","dbpedia_17","1.0"
"dbpedia_1203","dbpedia_1182","1.0"
"dbpedia_1201","dbpedia_1184","1.0"
"dbpedia_1202","dbpedia_1185","1.0"
"dbpedia_1200","dbpedia_1187","1.0"
"dbpedia_1204","dbpedia_1183","1.0"
"dbpedia_1204","dbpedia_1182","1.0"
"dbpedia_1201","dbpedia_1185","1.0"
"dbpedia_1200","dbpedia_1186","1.0"
"dbpedia_1202","dbpedia_1184","1.0"
"dbpedia_1203","dbpedia_1183","1.0"
"dbpedia_1205","dbpedia_1182","1.0"
"dbpedia_1202","dbpedia_1187","1.0"
"dbpedia_1201","dbpedia_1186","1.0"
"dbpedia_1200","dbpedia_1185","1.0"
"dbpedia_1206","dbpedia_1183","1.0"
"dbpedia_1206","dbpedia_1182","1.0"
"dbpedia_1200","dbpedia_1184","1.0"
"dbpedia_1201","dbpedia_1187","1.0"
"dbpedia_1202","dbpedia_1186","1.0"
"dbpedia_1205","dbpedia_1183","1.0"
"dbpedia_1200","dbpedia_1183","1.0"
"dbpedia_1204","dbpedia_1187","1.0"
"dbpedia_1205","dbpedia_1184","1.0"
"dbpedia_1203","dbpedia_1186","1.0"
"dbpedia_1206","dbpedia_1185","1.0"
"dbpedia_1200","dbpedia_1182","1.0"
"dbpedia_1203","dbpedia_1187","1.0"
"dbpedia_1204","dbpedia_1186","1.0"
"dbpedia_1206","dbpedia_1184","1.0"
"dbpedia_1205","dbpedia_1185","1.0"
"dbpedia_2799","dbpedia_2800","0.97"
"dbpedia_1201","dbpedia_1182","1.0"
"dbpedia_1206","dbpedia_1187","1.0"
"dbpedia_1204","dbpedia_1185","1.0"
"dbpedia_1205","dbpedia_1186","1.0"
"dbpedia_1203","dbpedia_1184","1.0"
"dbpedia_1202","dbpedia_1183","1.0"
"dbpedia_1202","dbpedia_1182","1.0"
"dbpedia_1201","dbpedia_1183","1.0"
"dbpedia_1205","dbpedia_1187","1.0"
"dbpedia_1203","dbpedia_1185","1.0"
"dbpedia_1204","dbpedia_1184","1.0"
"dbpedia_1206","dbpedia_1186","1.0"
"dbpedia_4614","dbpedia_4613","1.0"
"dbpedia_4615","dbpedia_4614","1.0"
"dbpedia_4615","dbpedia_4613","1.0"
"dbpedia_4396","dbpedia_4395","1.0"
"dbpedia_4393","dbpedia_4395","0.8525"
"dbpedia_4393","dbpedia_4396","0.8525"
"dbpedia_4616","dbpedia_4615","1.0"
"dbpedia_4393","dbpedia_4394","1.0"
"dbpedia_4616","dbpedia_4613","1.0"
"dbpedia_4396","dbpedia_4394","0.8525"
"dbpedia_4616","dbpedia_4614","1.0"
"dbpedia_4395","dbpedia_4394","0.8525"
"dbpedia_1077","dbpedia_1078","0.9911764705882352"
"dbpedia_4399","dbpedia_4398","1.0"
"dbpedia_4391","dbpedia_4390","1.0"
"dbpedia_1474","dbpedia_1471","1.0"
"dbpedia_1472","dbpedia_1473","1.0"
"dbpedia_1325","dbpedia_1324","1.0"
"dbpedia_1207","dbpedia_1204","1.0"
"dbpedia_1338","dbpedia_1337","0.9911764705882352"
"dbpedia_1314","dbpedia_1313","1.0"
"dbpedia_1473","dbpedia_1471","1.0"
"dbpedia_4682","dbpedia_4681","1.0"
"dbpedia_1208","dbpedia_1204","1.0"
"dbpedia_1365","dbpedia_1364","1.0"
"dbpedia_1472","dbpedia_1471","1.0"
"dbpedia_1474","dbpedia_1473","1.0"
"dbpedia_1330","dbpedia_1331","1.0"
"dbpedia_1207","dbpedia_1202","1.0"
"dbpedia_1208","dbpedia_1203","1.0"
"dbpedia_1474","dbpedia_1472","1.0"
"dbpedia_1829","dbpedia_1830","1.0"
"dbpedia_1207","dbpedia_1203","1.0"
"dbpedia_1208","dbpedia_1202","1.0"
"dbpedia_4304","dbpedia_4303","1.0"
"dbpedia_1474","dbpedia_1475","1.0"
"dbpedia_1367","dbpedia_1366","1.0"
"dbpedia_1332","dbpedia_1331","1.0"
"dbpedia_1359","dbpedia_1358","1.0"
"dbpedia_1343","dbpedia_1342","0.9624999999999999"
"dbpedia_1478","dbpedia_1479","1.0"
"dbpedia_1828","dbpedia_1830","1.0"
"dbpedia_1438","dbpedia_1439","0.9764705882352941"
"dbpedia_1979","dbpedia_1989","1.0"
"dbpedia_1978","dbpedia_1988","1.0"
"dbpedia_1208","dbpedia_1201","1.0"
"dbpedia_1207","dbpedia_1200","1.0"
"dbpedia_4541","dbpedia_4540","0.9571428571428571"
"dbpedia_4565","dbpedia_4564","1.0"
"dbpedia_1729","dbpedia_1730","1.0"
"dbpedia_1978","dbpedia_1989","1.0"
"dbpedia_1363","dbpedia_1362","1.0"
"dbpedia_1979","dbpedia_1988","1.0"
"dbpedia_1208","dbpedia_1200","1.0"
"dbpedia_1207","dbpedia_1201","1.0"
"dbpedia_1367","dbpedia_1364","0.9947368421052631"
"dbpedia_1366","dbpedia_1364","0.9947368421052631"
"dbpedia_1367","dbpedia_1365","0.9947368421052631"
"dbpedia_1366","dbpedia_1365","0.9947368421052631"
"dbpedia_1477","dbpedia_1474","1.0"
"dbpedia_1478","dbpedia_1475","1.0"
"dbpedia_1479","dbpedia_1472","1.0"
"dbpedia_1595","dbpedia_1594","1.0"
"dbpedia_1476","dbpedia_1477","1.0"
"dbpedia_1202","dbpedia_1203","1.0"
"dbpedia_1203","dbpedia_1200","1.0"
"dbpedia_1479","dbpedia_1473","1.0"
"dbpedia_1478","dbpedia_1474","1.0"
"dbpedia_1477","dbpedia_1475","1.0"
"dbpedia_4404","dbpedia_4403","1.0"
"dbpedia_1204","dbpedia_1200","1.0"
"dbpedia_1487","dbpedia_1488","1.0"
"dbpedia_1201","dbpedia_1203","1.0"
"dbpedia_1476","dbpedia_1475","1.0"
"dbpedia_1478","dbpedia_1477","1.0"
"dbpedia_1206","dbpedia_1201","1.0"
"dbpedia_1205","dbpedia_1200","1.0"
"dbpedia_1201","dbpedia_1204","1.0"
"dbpedia_4433","dbpedia_4432","1.0"
"dbpedia_1476","dbpedia_1474","1.0"
"dbpedia_4421","dbpedia_4420","1.0"
"dbpedia_1479","dbpedia_1471","1.0"
"dbpedia_1478","dbpedia_1476","1.0"
"dbpedia_1206","dbpedia_1200","1.0"
"dbpedia_1205","dbpedia_1201","1.0"
"dbpedia_4417","dbpedia_4416","1.0"
"dbpedia_4415","dbpedia_4414","1.0"
"dbpedia_4427","dbpedia_4426","0.9833333333333333"
"dbpedia_4413","dbpedia_4412","1.0"
"dbpedia_1202","dbpedia_1204","1.0"
"dbpedia_1476","dbpedia_1473","1.0"
"dbpedia_1475","dbpedia_1472","1.0"
"dbpedia_4562","dbpedia_4560","1.0"
"dbpedia_1478","dbpedia_1471","1.0"
"dbpedia_1235","dbpedia_1236","1.0"
"dbpedia_4749","dbpedia_4750","0.9934782608695651"
"dbpedia_1479","dbpedia_1476","1.0"
"dbpedia_1206","dbpedia_1203","1.0"
"dbpedia_1205","dbpedia_1202","1.0"
"dbpedia_1476","dbpedia_1472","1.0"
"dbpedia_4557","dbpedia_4556","1.0"
"dbpedia_4561","dbpedia_4560","1.0"
"dbpedia_1477","dbpedia_1471","1.0"
"dbpedia_1475","dbpedia_1473","1.0"
"dbpedia_1330","dbpedia_1332","1.0"
"dbpedia_1479","dbpedia_1477","1.0"
"dbpedia_1206","dbpedia_1202","1.0"
"dbpedia_1205","dbpedia_1203","1.0"
"dbpedia_1477","dbpedia_1472","1.0"
"dbpedia_1479","dbpedia_1474","1.0"
"dbpedia_1478","dbpedia_1473","1.0"
"dbpedia_1228","dbpedia_1227","1.0"
"dbpedia_1476","dbpedia_1471","1.0"
"dbpedia_1212","dbpedia_1211","1.0"
"dbpedia_1204","dbpedia_1203","1.0"
"dbpedia_1202","dbpedia_1201","1.0"
"dbpedia_1201","dbpedia_1200","1.0"
"dbpedia_1206","dbpedia_1205","1.0"
"dbpedia_1205","dbpedia_1204","1.0"
"dbpedia_1919","dbpedia_1920","1.0"
"dbpedia_1478","dbpedia_1472","1.0"
"dbpedia_1479","dbpedia_1475","1.0"
"dbpedia_1477","dbpedia_1473","1.0"
"dbpedia_1475","dbpedia_1471","1.0"
"dbpedia_4562","dbpedia_4561","1.0"
"dbpedia_4072","dbpedia_4075","1.0"
"dbpedia_1202","dbpedia_1200","1.0"
"dbpedia_1206","dbpedia_1204","1.0"
"dbpedia_4041","dbpedia_4043","1.0"
"dbpedia_1694","dbpedia_1695","1.0"
"dbpedia_4044","dbpedia_4042","1.0"
"dbpedia_4073","dbpedia_4075","1.0"
"dbpedia_4030","dbpedia_4032","1.0"
"dbpedia_4769","dbpedia_4771","1.0"
"dbpedia_4068","dbpedia_4066","1.0"
"dbpedia_1087","dbpedia_1086","0.9666666666666667"
"dbpedia_1206","dbpedia_1207","1.0"
"dbpedia_4051","dbpedia_4050","1.0"
"dbpedia_4043","dbpedia_4042","1.0"
"dbpedia_4074","dbpedia_4075","1.0"
"dbpedia_4030","dbpedia_4031","1.0"
"dbpedia_4041","dbpedia_4044","1.0"
"dbpedia_4067","dbpedia_4066","1.0"
"dbpedia_1205","dbpedia_1207","1.0"
"dbpedia_1091","dbpedia_1092","0.9568181818181818"
"dbpedia_1080","dbpedia_1081","1.0"
"dbpedia_1205","dbpedia_1208","1.0"
"dbpedia_4054","dbpedia_4053","1.0"
"dbpedia_4041","dbpedia_4042","1.0"
"dbpedia_4088","dbpedia_4087","0.9926829268292683"
"dbpedia_4044","dbpedia_4043","1.0"
"dbpedia_4032","dbpedia_4031","1.0"
"dbpedia_4074","dbpedia_4073","1.0"
