"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorJaccardNgram record1Value","[0] CompanyNameComparatorJaccardNgram record2Value","[0] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[0] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[0] CompanyNameComparatorJaccardNgram similarity","[0] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[1] CompanyNameComparatorJaccardNgram record1Value","[1] CompanyNameComparatorJaccardNgram record2Value","[1] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[1] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[1] CompanyNameComparatorJaccardNgram similarity","[1] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[2] CompanyNameComparatorJaccardNgram record1Value","[2] CompanyNameComparatorJaccardNgram record2Value","[2] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[2] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[2] CompanyNameComparatorJaccardNgram similarity","[2] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[3] CompanyNameComparatorJaccardNgram record1Value","[3] CompanyNameComparatorJaccardNgram record2Value","[3] CompanyNameComparatorJaccardNgram record1PreprocessedValue","[3] CompanyNameComparatorJaccardNgram record2PreprocessedValue","[3] CompanyNameComparatorJaccardNgram similarity","[3] CompanyNameComparatorJaccardNgram postproccesedSimilarity","[4] CompanyNameComparatorLevenshtein record1Value","[4] CompanyNameComparatorLevenshtein record2Value","[4] CompanyNameComparatorLevenshtein record1PreprocessedValue","[4] CompanyNameComparatorLevenshtein record2PreprocessedValue","[4] CompanyNameComparatorLevenshtein similarity","[4] CompanyNameComparatorLevenshtein postproccesedSimilarity","[5] CompanyNameComparatorLevenshtein record1Value","[5] CompanyNameComparatorLevenshtein record2Value","[5] CompanyNameComparatorLevenshtein record1PreprocessedValue","[5] CompanyNameComparatorLevenshtein record2PreprocessedValue","[5] CompanyNameComparatorLevenshtein similarity","[5] CompanyNameComparatorLevenshtein postproccesedSimilarity","[6] CompanyNameComparatorJaccardToken record1Value","[6] CompanyNameComparatorJaccardToken record2Value","[6] CompanyNameComparatorJaccardToken record1PreprocessedValue","[6] CompanyNameComparatorJaccardToken record2PreprocessedValue","[6] CompanyNameComparatorJaccardToken similarity","[6] CompanyNameComparatorJaccardToken postproccesedSimilarity"
"WekaMatchingRule","dbpedia_3573","Forbes1965","0.00934537080381876","0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancere","0.041666666666666664","0.0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancereholdings","0.03125","0.0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancere","0.0","0.0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancereholdings","0.0","0.0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancere","0.5","0.0","Retail Ventures","RenaissanceRe Holdings","retailventures","renaissancereholdings","0.38095238095238093","0.0","Retail Ventures","RenaissanceRe Holdings","Retail Ventures","RenaissanceRe Holdings","0.0","0.0"
"WekaMatchingRule","dbpedia_4603","Forbes834","0.00934537080381876",,"Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercial","0.038461538461538464","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercialbank","0.03333333333333333","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercial","0.0","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercialbank","0.0","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercial","0.11111111111111116","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","viacom2005–2019","abudhabicommercialbank","0.18181818181818177","0.0","Viacom (2005–2019)","Abu Dhabi Commercial Bank","Viacom (2005–2019)","Abu Dhabi Commercial Bank","0.0","0.0"
"WekaMatchingRule","dbpedia_3727","Forbes554","0.9187863304482433","0","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.64","0.64","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.64","0.64","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.625","0.625","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.625","0.625","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.6538461538461539","0.6538461538461539","Samsung Fire & Marine Insurance","Samsung Fire & Marine","samsungfiremarineinsurance","samsungfiremarine","0.6538461538461539","0.6538461538461539","Samsung Fire & Marine Insurance","Samsung Fire & Marine","Samsung Fire & Marine Insurance","Samsung Fire & Marine","0.75","0.75"
"WekaMatchingRule","dbpedia_4602","Forbes1244","0.00934537080381876",,"Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retail","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retailgroup","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retail","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retailgroup","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retail","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","viacom2005–2019","x5retailgroup","0.0","0.0","Viacom (2005–2019)","X5 Retail Group","Viacom (2005–2019)","X5 Retail Group","0.0","0.0"
"WekaMatchingRule","dbpedia_4362","Forbes935","0.934480853156964","1","Tokyu Corporation","Tokyu","tokyu","tokyu","1.0","1.0","Tokyu Corporation","Tokyu","tokyucorporation","tokyu","0.26666666666666666","0.0","Tokyu Corporation","Tokyu","tokyu","tokyu","1.0","1.0","Tokyu Corporation","Tokyu","tokyucorporation","tokyu","0.21428571428571427","0.0","Tokyu Corporation","Tokyu","tokyu","tokyu","1.0","1.0","Tokyu Corporation","Tokyu","tokyucorporation","tokyu","0.3125","0.0","Tokyu Corporation","Tokyu","Tokyu Corporation","Tokyu","0.5","0.5"
"WekaMatchingRule","dbpedia_4602","Forbes1246","0.00934537080381876",,"Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.0","0.0","Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.0","0.0","Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.0","0.0","Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.0","0.0","Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.1333333333333333","0.0","Viacom (2005–2019)","Air Canada","viacom2005–2019","aircanada","0.1333333333333333","0.0","Viacom (2005–2019)","Air Canada","Viacom (2005–2019)","Air Canada","0.0","0.0"
"WekaMatchingRule","dbpedia_926","Forbes22","0.9972873126611694","1","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","chinamobile","chinamobile","1.0","1.0","China Mobile","China Mobile","China Mobile","China Mobile","1.0","1.0"
"WekaMatchingRule","dbpedia_2398","Forbes1806","0.00934537080381876","0","Keikyu","Keiyo Bank","keikyu","keiyo","0.2857142857142857","0.0","Keikyu","Keiyo Bank","keikyu","keiyobank","0.18181818181818182","0.0","Keikyu","Keiyo Bank","keikyu","keiyo","0.16666666666666666","0.0","Keikyu","Keiyo Bank","keikyu","keiyobank","0.1","0.0","Keikyu","Keiyo Bank","keikyu","keiyo","0.6666666666666667","0.6666666666666667","Keikyu","Keiyo Bank","keikyu","keiyobank","0.33333333333333337","0.0","Keikyu","Keiyo Bank","Keikyu","Keiyo Bank","0.0","0.0"
"WekaMatchingRule","dbpedia_3184","Forbes1595","0.9972873126611694","1","Ono Pharmaceutical","ONO Pharmaceutical","ono","ono","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","onopharmaceutical","onopharmaceutical","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","ono","ono","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","onopharmaceutical","onopharmaceutical","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","ono","ono","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","onopharmaceutical","onopharmaceutical","1.0","1.0","Ono Pharmaceutical","ONO Pharmaceutical","Ono Pharmaceutical","ONO Pharmaceutical","1.0","1.0"
"WekaMatchingRule","dbpedia_98","Forbes1771","0.00934537080381876","0","Adabank","AmBank Group","adabank","ambank","0.2222222222222222","0.0","Adabank","AmBank Group","adabank","ambankgroup","0.14285714285714285","0.0","Adabank","AmBank Group","adabank","ambank","0.125","0.0","Adabank","AmBank Group","adabank","ambankgroup","0.07692307692307693","0.0","Adabank","AmBank Group","adabank","ambank","0.7142857142857143","0.7142857142857143","Adabank","AmBank Group","adabank","ambankgroup","0.36363636363636365","0.0","Adabank","AmBank Group","Adabank","AmBank Group","0.0","0.0"
