"Blocking Key Value","Frequency"
"s","97686"
"c","89661"
"a","71910"
"t","39216"
"m","34020"
"b","24000"
"h","20889"
"p","20856"
"com","19650"
"ent","18172"
"toc,lem,dec,uji,dra,eba,nsk,hom,ihe,rig,alk,roa,anm","45"
"tim,cla,low,ude,dma,max,mba,eid,pot,rds,ado,amc","44"
"coa,dco,deu,dio,mos,oro,oun,ido,aka,bot","42"
"kyu,lac,lib,lot,dha,ush,via,nke,fuj,ogi,pap,hne,hol,imb,ipr,ray,rke,rmo,alu,roy,ave,sab,bac,bas,sid,bia,sso,kis","40"
"thc,mbi,mol,emp,epr,exc,nsi,ntt,obe,owa,ium,iva,rob","39"
"okk","38"
"teg,tma,lst,lum,dro,mpe,ebr,eft,vie,nar,erb,ndr,esu,ngt,fro,oha,oho,gat,gel,xia,pay,pir,pos,ppi,hop,iar,iko,zon,rba,rex,rna,anr,rsa,rub,bes,sic","36"
"tpa,ula,exa,oly,gal,yal,imp,ben","35"
"dom,rap","34"
"ths,coo,liv,dal,lso,lut,dre,dwi,vir,ncs,nec,fer,xch,xpr,arl,rum","33"
"chr,top,ctu,mmi,ebe,eck,nep,nmi,opo,gni,goo,hes,his,igi,isu,aer,rsc,asp,atr,bos,stc,kla","32"
"tob,ldi,mah,mir,mom,eic,esh,nem,ngk,evi,niu,nla,non,npo,npr,obr,onb,opp,orn,oss,yot,iga,afo,aha,anh,rro,aro,atc,ayc,sap,sar,sek,spr,cac","30"
"daq","29"
"tos,lca,ues,dep,dor,vat,ece,mur,ett,exi,nmo,wil,opa,gla,how,hua,ida,idi,isp,agi,aim,sim,sma,bus","28"
"cou,uch,doo,mou,nba,ney,ngb,nhe,nom,nsc,opl,gco,yme,ied,ila,ils,raf,isl,rni,anz,kas,stp,sup,tba","27"
"tea,mus,onn,ika,ild,ipa,rav,bio,tag","26"
"eon,esp,nia,was,oge,ppe,iji,rae,rto,bay","25"
"ced,tli,tol,tot,cob,cov,tso,cru,lds,let,lev,lie,lis,lly,loc,ual,ubb,uka,dol,mbe,uru,var,eca,elt,ngl,nko,nni,nos,fan,nra,plo,pop,hab,pra,haw,hic,yna,hos,hyd,icu,zer,ige,imo,ith,itr,aku,rmi,anl,rsh,aza,bai,bbe,sky,kel,bui","24"
"cec,csh,unc,emo,exe,flo,oen,olv,omb,inb,ios,iot,adc","22"
"lai,lgr,dea,urs,dva,mpo,efo,viv,vol,wai,nvi,odo,ony,osm,xpe,ydr,pul,hwa,rys,sag,sah,ski,stb","21"
"cot,lba,leg,lep,dem,die,upa,mad,mex,edo,efi,eus,nph,fei,oal,ool,gko,pco,poi,hit,yon,yre,idg,abe,aca,agn,rtu,sel,sne","20"
"erp,oli,arm","240"
"oth,iss,kka","19"
"een,apa,asa","232"
"tei,tfi,kuw,toh,tto,ldw,lim,uba,uco,lsr,dex,lwo,uil,umm,upe,doe,maa,dst,eci,edb,edm,eik,eit,eki,enb,nap,nav,epu,nbu,equ,erh,erk,nei,etm,ngd,ngp,niv,nno,ffs,wid,ofi,oka,onw,osp,gil,gob,gon,hib,yos,yua,ias,igo,iin,abl,ref,adv,rib,alh,atl,rva,axi,sbu,bev,blo,spi,sus,kem,suz,koh,kok,cad","18"
