"Blocking Key Value","Frequency"
"lib,vie,pop,ram,sso","32"
"alt,tai","528"
"lab,lam,lat,lau,two,lob,ury,ute,nel,ete,eti,nfo,npo,oca,oha,olu,org,ple,yin,hir,iji,inf,rco,rdi,isa,rel,rid,ait,rne,amp,ann,arg,aya,sci,bay,bei,sio,sla,spe","30"
"ope","504"
"cho,ean,exi,qin,rag,bai,set,ssi","28"
"ale","500"
"tek,kyu,toc,cto,ley,lip,mac,mas,uti,mmu,mom,mpu,ead,eau,eba,nef,nio,was,far,nsk,oal,obr,och,oel,oin,ott,phi,ipr,abe,rec,aho,aic,iyo,ize,alf,rto,aso,sap,ska,bre,bur,cac,cam","25"
"eve","486"
"tex,cea,chr,cin,cob,cod,tte,lma,lre,ltr,mag,mes,ewe,wat,xia,oyo,hab,hal,hes,ick,qua,ime,isi,rei,aer,ago,ake,aki,ald,rou,anu,apo,aur,jia,bel,sid","24"
"eal,sco","484"
"tos,ngy,oce,ret","21"
"man,ndi,nta,sun","483"
"cer,til,toy,lca,leg,cts,das,dba,ues,lty,dep,dha,die,dig,ula,dma,usi,ush,mco,dro,van,eck,mur,via,egr,eid,eij,epa,esp,etw,ngk,ngt,nke,nme,fan,woo,oda,ook,xis,gni,poi,ppe,hne,hop,que,igh,ihe,imp,rae,rba,agn,rig,aid,aii,rke,rle,rld,alk,amc,amb,anm,anw,arn,rtu,rwa,bas,sem,ses,ben,sim,sil,bin,sme,ble,sne,spa,kis","20"
"etr","480"
"lte,uin,nap,ngb,ngd,ngr,nsh,fie,oun,imi,ira,abo,anh,arp,rub,ava,stb","18"
"hai","468"
"cis,cla,tne,tol,lac,cse,twa,lra,dge,urg,dse,mmi,ebr,ece,eft,elt,enr,esu,eus,nie,nra,wil,oad,ool,oup,gel,ova,ovi,ovo,pot,put,yna,qat,ipo,ray,iri,irw,ack,isu,ith,aie,anl,anr,anx,rsk,arb,asp,aus,sab,bes,ske,bud,tac","16"
"eel,omo,ore","462"
"ced,tpa,cru,liv,dco,dec,uji,upp,mex,mol,eat,efo,eko,equ,erk,nec,exa,exc,nsc,win,fos,oco,odu,oge,ohn,oly,opp,xch,xic,ghe,xpr,poa,pos,pul,hui,ias,imb,abu,aen,iva,rro,sna,sup,kom,tba,cas","15"
"tom,urc","456"
"hin","6532"
"chi","6408"
"anc","5712"
"d","5624"
"i","5325"
"ina","5270"
"e","5040"
"ing","5032"
"g","4958"
"f","4420"
"mil","14"
"tin,har,ber","441"
"teg,tei,kue,thc,tma,cle,tow,lds,lel,lek,lex,tyi,lly,loc,lot,loy,lph,dal,ude,udh,lst,ugo,dio,umm,upe,dol,mah,max,mba,uro,dst,dva,mir,mpe,var,ebe,eci,edb,von,nba,ncs,ery,ndr,ney,evi,ewc,nhu,nis,nla,nma,nmi,nmo,non,nom,num,fer,fis,fro,ody,oho,onb,onn,ony,gat,orn,osu,gia,gic,gko,xpe,pap,pir,pli,ydr,hit,hns,hom,hot,how,hro,yus,hug,hyd,idg,idi,igi,iin,ink,raz,ips,rbe,rds,ace,rem,itt,adv,rip,rio,aim,aku,alu,rni,rob,rom,anz,apl,rsc,arl,aro,rum,joh,bac,sek,sev,bev,shu,ski,sma,soc,bor,bos,suk,kel,ken,bui,kia,syn,kla,tam,tco","12"
"c","45980"
"del,eco","440"
"lba,lga,des,ngq,nsb,wen,oci,fuj,ogi,onm,ham,yre,ipe,ril,rpo,awa,bia,swi","10"
"s","42612"
"min,its,ara","420"
"ceb,kuw,kwe,ths,tif,chc,tob,toh,tot,coo,cou,cov,ldi,ldm,tui,lev,lfo,lge,lmi,ual,uba,dav,uch,uco,lsa,lsk,lso,lum,lut,lux,uga,dex,uho,uko,una,usa,dra,dsm,uwa,miz,uzu,mou,edp,vir,viv,eki,emp,vol,nav,eps,epu,erh,nem,eur,ngc,ngp,nil,niu,nko,nle,nob,nop,wai,npe,fac,ntt,nvi,who,obe,odo,oft,oor,opl,opu,gap,oro,osm,ouc,geo,get,ght,gil,xte,pea,pel,pge,pho,ppa,pra,haw,yco,yer,hew,hip,yme,yor,hwa,iem,iff,imo,raf,isl,itr,afa,aha,riz,izo,izu,alh,roa,rog,rot,rsa,atc,atl,ats,aul,ayc,sah,bad,bao,sic,blo,sof,sre,ssc,stj,suz,kli","9"
"a","30600"
"mic,ali","414"
"top,leo,lpo,ubb,dam,uli,dor,urk,dri,eai,edm,nae,nah,wis,nzh,fle,off,oga,opa,osc,gis,gli,gna,goo,hig,ida,ifo,iko,ipa,abb,ado,amo,rry,ave,sde,sdi,sel,kai,kco,stc,sth,bus","8"
"t","11970"
"rin","408"
"uis,iss","7"
"m","11865"
"gen","400"
