"Blocking Key Value","Frequency"
"s","103032"
"c","94380"
"a","76140"
"m","36612"
"t","36120"
"b","26640"
"ent","24308"
"com","20829"
"p","20145"
"h","20045"
"rta","62"
"tte,dba,lty,uro,ury,nai,nie,pos,hom,iyo,ait,anh,att,aur,sid,bin,ska,spo","60"
"daq","58"
"rom,ats","57"
"dio,dor,uts,msu,hol,ida,roy,apo,bus","56"
"liv,dma,eid,erd,nec,xch,xpr,ize,amc","55"
"lex,eur,ngb,npr,xia,pay,hei,hip,sre","54"
"thc,dge,nar,oad,ovo,oyo,ipa,amb,rob,aus,sem,ble","52"
"usa,win,oor,rot","51"
"tek,lba,dha,ush,via,nef,nke,oca,oin,hne,zen,aho,aic,rke,rro,aya,bas","50"
"mos,yal,hun","49"
"teg,chr,cke,tma,tow,ctu,deu,urg,eld,ndr,nma,fro,ols,oup,pho,yco,hes,his,qua,zon,iri,ack,aer,arn,rwa,sas,ses,sil,sor,kai,ssa","48"
"awa","46"
"toc,dra,dro,eba,enk,esh,ngt,nsc,nsk,gam,hop,iet,rba,rid,roa,atu,spl,sup,kon,tba","45"
"cla,dal,lre,upo,ncs,fer,pot,hal,aki,arl,rum","44"
"coa,cop,vin,ett,nsh,oro,gla,gua,ink,agi,aka,ava,bai,soc,stb,kom","42"
"ced,kyu,lac,tse,cru,mah,mir,eck,evi,nla,non,onb,orn,gni,ick,que,ipr,ray,aro,avy,sab,sek,sel,bel,swi","40"
"tea,lte,mus,emp,ntt,obe","39"
"okk,ose,oth","38"
"cob,lay,uel,lum,ebr,edm,eft,nap,nba,esu,ney,ngd,nni,nom,npo,gel,ppi,hab,hua,ihe,itt,rig,rmi,alk,rna,rni,anm,anr,anz,apl,rsa,bes,sic,sky,bor,swa,tam","36"
"lca,ues,dep,mur,efo,eon,oci,pul,ipe,sim","35"
"mme,ngs","266"
"off,rap,rre,tak","34"
"ema,pin,sum","264"
"cec,ths,coo,csh,uar,ude,lso,lut,max,mba,mid,vir,eko,oen,has,rds,ivi","33"
"asa,bro,sti,cat","261"
"lly,dam,ltr,mmi,var,vid,nep,osc,gna,ham,hyd,isu,aku,rmo,asp,atr,kel,bui,kis","32"
"oli,aci,sia,bri","260"
"tob,cot,ldi,lep,lot,uin,mil,mom,edo,equ,erk,nem,niu,fan,nya,obr,oha,pap,yon,yot,ias,iji,abo,ago,aha,alu,arp,rui,atc,ayc,sap,bac,bay,syn,cac","30"
"cro","256"
"tna,lga,ula,dva,vat,ece,erf,ngl,fei,wil,ony,gis,xpe,ydr,qin,imp,ben,sig,ski,bot","28"
"ifi","255"
"cou,tyt,uch,lst,uji,mou,mpe,eit,etm,ngr,nno,fie,oho,opl,gat,pir,yme,ytr,yua,raf,isl,rib,aqo","27"
"der,duc,pen","252"
"lek,mbi,dri,epr,nsi,ika,ild,ium,tag","26"
"nto","247"
"leg,upp,nia,was,agn,rpo,rto,rtu","25"
"pre,ane","243"
"tei,tod,tol,tot,cod,cov,tso,lde,ttr,lev,lie,ual,lto,ufa,uli,umm,upe,dst,ebe,eci,edb,eet,elt,ngk,nko,nmi,nos,nra,ntc,onf,opo,pra,haw,pru,yna,hos,ibu,icu,igi,iin,imb,imi,imo,rak,reg,ith,itr,adv,ril,anl,rsc,rsh,rtm,bev,bos,ssp,kla","24"
"cin,err,nex,aba,ams,arm","240"
"unc,dre,dwi,emo,exe,olv,omb,inb,ios,iot,adc,ado,roo,rtn","22"
"fin,inm,ami","238"
"cip,tpa,lom,mai,mel,ege,viv,vol,ngy,exa,nmo,wai,nvi,nwa,odo,oly,oot,osm,pec,how,hwa,idi,aim,sah,bea,sma,kag,stl","21"
"rks,rod","234"
"tta,lue,upa,mad,eic,eis,esp,etc,eus,nka,fax,nuf,num,fil,fle,oal,oga,onm,ool,oss,gia,pco,ppe,hui,iga,rae,abe,abu,afo,anb,anw,rry,aym,sth","20"
"hil","232"
"kka","19"
"ino","230"
"kuw,tle,toh,tto,lds,cst,cul,lgr,loc,uba,uco,uda,lsr,dex,lwo,uic,uil,umb,dmi,doe,dol,doo,dos,vit,eki,nav,epu,erh,erl,ngp,ewa,niv,wid,fla,ofi,oka,opp,ots,gil,xpo,yin,ied,iko,ila,ils,irc,abc,abr,aji,alh,jab,rub,atl,axi,sbu,sce,bei,sle,bla,blo,spi,kas,stp,sus,kem,suz,kit","18"
"ecu,sse","228"
"dom,eam,ftw","17"
"ash","225"
"thi,tir,lch,cra,let,lra,lus,lva,die,mbe,uru,usc,mei,ebo,enr,eop,nah,nbr,ned,nim,exi,nsp,fuj,fun,onl,ges,goo,poi,hat,hic,hma,hro,zer,ilm,ips,rda,rew,ius,aiy,rme,jia,sat,bab,bbe,sie,bia,blu,sne,key,kir","16"
"onc,oti,ger","224"
"ceb,chc,cio,tmi,lax,ldm,lem,llc,lsa,una,uwa,mmo,mpu,ead,eau,egi,eij,naa,nau,nix,nji,fas,fos,oge,osy,get,ghe,gko,pea,hae,hit,idg,iff,aen,iya,izo,rsi,sfo,spr,kli","15"
"gha","221"
"tet,cki,lai,lak,lei,twe,llu,dea,urs,mis,mpo,eag,enw,esy,neo,nli,fon,oji,olt,opa,opr,orc,oso,git,pai,pas,peo,gto,ybr,yce,yde,hia,hre,ibi,ike,irf,isp,reh,rix,aih,anj,aru,asy,rys,bon,tau","14"
"ods","220"
"clo,owa,peu,rav,rfa","13"
"mob,pla,ram,ker","216"
"cca,ksh,tfi,tif,tig,tit,tiz,tos,cno,tsp,tst,led,cte,leo,lid,lis,lpa,lph,ubb,ubo,dde,lux,uka,uss,mex,eac,msa,eca,eho,eik,elc,enb,env,eps,nbu,nhi,nhu,ewo,ews,nik,noi,fis,ody,opu,orr,gbo,osu,geo,gle,gli,gob,gon,gse,pel,plo,pop,ppa,pso,yen,put,hib,yoc,ypr,qat,yus,iem,ifu,ige,igo,imm,ipo,abb,irw,rex,aft,rip,ahe,riz,aie,rka,rle,roe,rva,sga,shu,boo,sst,kco,stj,bud,kok,tab,tap","12"
"nag,erp,ost,hou,ici","210"
"tim,low,dad,fai,nth,flo,zan,zho,ilc,stu","11"
"ntr","684"
"rch","209"
"chs,cic,lav,law,tti,tyc,tys,lio,lpe,ube,dca,lyc,dir,dle,maz,usb,usm,dte,dyn,eds,efi,eha,elu,vor,nbe,ncy,esl,eva,nph,fal,nqu,nsb,wen,nty,nut,obo,ohn,oph,osi,otr,ozo,gst,hee,ypa,yse,igl,raj,rar,rbi,aar,aca,acl,itz,rgy,aii,rov,jac,jam,rve,aze,sar,sav,sna,bol,kar,ket","10"
"uri,ipp,ity,ass","672"
"din,gan","208"
"tja,cim,lah,tsk,ldw,lfo,cus,lim,udh,uga,lve,uma,miz,uzu,vay,edp,nei,nhe,nib,nil,nle,wab,ffs,obl,fth,gfi,pat,yer,hex,yos,yor,iab,iar,iom,raz,rbe,rbu,abl,itc,afa,afr,rkc,izu,rog,rra,apr,aul,bad,sev,sis,bic,ssu,kia,tbr,cad,kro","9"
"lia","667"
"nna,adi","204"
"kti,3,tli,cks,tmo,tpr,lag,tsi,lci,lda,ttl,cse,tua,tun,lee,tyi,llb,lov,lpo,dao,das,lro,lsc,ltu,uke,une,map,urb,mce,uta,dse,dso,uya,edu,vil,eir,emb,vod,enu,nae,eru,erw,esk,ndt,eth,nfe,nho,nja,eye,nks,wei,fed,wis,odr,oke,ory,gda,gdo,gfo,xil,god,gpo,gsh,gue,pli,pun,hep,yhe,yoe,yre,yso,yte,hur,iag,ieb,iki,inh,inp,ior,irg,rcu,isk,zuk,riv,aif,aly,rok,rph,rtr,jew,atw,avo,jit,ayp,azi,joh,scr,sde,bco,shm,ske,sli,kap,sra,kba,stn,sts,ked,kei,swe,kos,tdi","8"
"ess,ive","666"
"ure","203"
"1,thr,cig,cir,loo,umo,mca,edg,eed,eep,efa,enp,nig,eyb,noc,wea,ntv,nza,oon,gho,pie,hio,ylo,iac,ibr,icc,ird,isr,rgo,anf,asu,sag,bat,shn,sit,bou,kam,squ,kne","7"
"ari","663"
"esi,ngi,ote,ren,alp,sam,sal","200"
