"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"21_11_85_dbpedia_dw","dbpedia","dw","21","0,85","11","0,984210526","0,647058824","0,780793319","0,954545455","0,831683168","0,888888889","692","00:00:13","0.9639047817907086","336055","21.11.2022 23:39","517","0,983870968","0,603960396","0,748466258"
"15_11_9_dbpedia_dw","dbpedia","dw","15","0,9","11","1","0,415224913","0,586797066","1","0,485148515","0,653333333","438","00:00:10","0.9639047817907086","336055","21.11.2022 23:37","356","1","0,386138614","0,557142857"
"15_10_9_forbes_kaggle_f","forbes","kaggle_f","15","0,9","10","0,875","0,03255814","0,062780269","1","0,028571429","0,055555556","1585","00:04:43","0.9935787802696053","6316297","28.11.2022 19:59","988","1","0,014285714","0,028169014"
"16_10_85_dw_kaggle_f","dw","kaggle_f","16","0,85","10","1","0,251282051","0,401639344","0,833333333","0,289855072","0,430107527","1835","00:09:04","0.9940586163356226","5622217","25.11.2022 22:10","1090","0,9","0,130434783","0,227848101"
"23_13_87_dbpedia_kaggle","dbpedia","kaggle","23","0,875","13","1","0,079207921","0,146788991","1","0,049180328","0,09375","795","00:00:52","0.999827489119993","8469","22.11.2022 16:50","537","1","0,032786885","0,063492063"
"22_11_87_dbpedia_forbes","dbpedia","forbes","22","0,875","11","0,988764045","0,494382022","0,65917603","0,92","0,71875","0,807017544","625","00:00:44","0.9627863194874974","360154","23.11.2022 12:35","484","0,928571429","0,609375","0,735849057"
"21_16_9_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0,9","16","1","0,316939891","0,481327801","1","0,414285714","0,585858586","1633","00:03:57","0.9983593215055898","-3141902","28.11.2022 12:48","1097","1","0,328571429","0,494623656"
"14_11_9_dbpedia_dw","dbpedia","dw","14","0,9","11","1","0,53633218","0,698198198","1","0,673267327","0,804733728","520","00:00:10","0.9639047817907086","336055","21.11.2022 23:37","411","1","0,514851485","0,679738562"
"8_11_85_dbpedia_dw","dbpedia","dw","8","0,85","11","1","0,629757785","0,772823779","0,95505618","0,841584158","0,894736842","590","00:00:29","0.9639047817907086","336055","21.11.2022 23:36","452","0,969230769","0,623762376","0,759036145"
"15_11_7_dbpedia_forbes","dbpedia","forbes","15","0,7","11","0,9375","0,58988764","0,724137931","0,890625","0,890625","0,890625","736","00:00:10","0.9627863194874974","360154","22.11.2022 21:08","554","0,92","0,71875","0,807017544"
"21_11_9_dbpedia_dw","dbpedia","dw","21","0,9","11","1","0,612456747","0,759656652","0,961538462","0,742574257","0,837988827","570","00:00:13","0.9639047817907086","336055","21.11.2022 23:39","445","0,982758621","0,564356436","0,716981132"
"22_11_9_dbpedia_forbes","dbpedia","forbes","22","0,9","11","0,988505747","0,483146067","0,649056604","0,957446809","0,703125","0,810810811","607","00:00:45","0.9627863194874974","360154","23.11.2022 12:36","472","0,95","0,59375","0,730769231"
"22_11_85_dbpedia_forbes","dbpedia","forbes","22","0,85","11","0,989247312","0,516853933","0,67896679","0,924528302","0,765625","0,837606838","647","00:00:17","0.9627863194874974","360154","22.11.2022 21:10","498","0,931818182","0,640625","0,759259259"
"16_10_9_forbes_kaggle_f","forbes","kaggle_f","16","0,9","10","0,947368421","0,08372093","0,153846154","0,909090909","0,142857143","0,24691358","1633","00:08:36","0.9935787802696053","6316297","28.11.2022 22:24","1027","1","0,1","0,181818182"
"9_11_7_dbpedia_forbes","dbpedia","forbes","9","0,7","11","0,933333333","0,629213483","0,751677852","0,819444444","0,921875","0,867647059","819","00:00:10","0.9627863194874974","360154","22.11.2022 21:07","589","0,87037037","0,734375","0,796610169"
