"RecordIDS","AverageConsistency","COUNTRY-Consistency","COUNTRY-Values","YEAR_FOUNDED-Consistency","YEAR_FOUNDED-Values","CURRENT_EMPLOYEES-Consistency","CURRENT_EMPLOYEES-Values","Name-Consistency","Name-Values","INDUSTRY-Consistency","INDUSTRY-Values"
"Kaggle_75060+dbpedia_1333","1.0","1.0","{united states}","1.0","{2004.0|2004.0}","1.0","{151.0}","1.0","{e.l.f. cosmetics|E.l.f. (cosmetics)}","1.0","{[, cosmetics, ]|[, Cosmetics, ]}"
"Kaggle_23728+dbpedia_1685","0.6","1.0","{ghana}","1.0","{1953.0|1953.0}","0.0","{493.0|2299.0}","1.0","{gcb bank limited|GCB Bank}","0.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_3128+dbpedia_1750","0.6","1.0","{united states}","1.0","{1971.0|1999.0}","0.0","{3035.0|14600.0}","1.0","{gentiva health services|Gentiva Health Services}","0.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_1048607+dbpedia_4441","0.75",,,"1.0","{1988.0}","1.0","{7.0}","1.0","{travis perkins plc|Travis Perkins}","0.0","{[, accounting, ]|[, Retail, , Business-to-business, ]}"
"Kaggle_1270489+dbpedia_2244","0.6","1.0","{japan|Japan}","1.0","{1984.0|1949.0}","0.0","{6.0|2963.0}","1.0","{jeol|JEOL}","0.0","{[, electrical/electronic manufacturing, ]|[, Scientific instrument, ]}"
"Kaggle_56027+dbpedia_4698","0.6","1.0","{united states}","1.0","{1899.0|1899.0}","0.0","{205.0|870.0}","1.0","{wausau paper|Wausau Paper}","0.0","{[, paper & forest products, ]|[, Pulp and paper industry, ]}"
"Kaggle_4046787+dbpedia_1335","0.6","1.0","{italy}","1.0","{2009.0|1995.0}","0.0","{1.0|13300.0}","1.0","{ebay|EBay}","0.0","{[, non-profit organization management, ]|[, E-commerce, ]}"
"Kaggle_18830+dbpedia_1570","0.4","1.0","{united states}","0.0","{1982.0|1857.0}","0.0","{618.0|1454.0}","1.0","{first commonwealth bank|First Commonwealth Bank}","0.0","{[, banking, ]|[, Finance, , Bank, ]}"
"Kaggle_83799+dbpedia_3524","0.6","1.0","{united states}","1.0","{1969.0|1969.0}","0.0","{134.0|194.0}","1.0","{realty income corporation|Realty Income}","0.0","{[, real estate, ]|[, Real estate investment trust, ]}"
"Kaggle_66184+dbpedia_2302","1.0",,,"1.0","{1997.0}","1.0","{172.0}","1.0","{jordan telecom group|Jordan Telecom Group}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_37+dbpedia_1611","0.6","1.0","{united states}","1.0","{1903.0|1903.0}","0.0","{65335.0|186000.0}","1.0","{ford motor company|Ford Motor Company}","0.0","{[, automotive, ]|[, Automotive industry, ]}"
"Kaggle_15580+dbpedia_1857","0.6","1.0","{united kingdom}","1.0","{1968.0|1968.0}","0.0","{741.0|235000.0}","1.0","{hca healthcare uk|HCA Healthcare}","0.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_89988+dbpedia_3962","0.5",,,"1.0","{1915.0}","0.0","{124.0|8000.0}","1.0","{spectris plc|Spectris}","0.0","{[, electrical/electronic manufacturing, ]|[, Instrumentation, ]}"
"Kaggle_2811+dbpedia_4333","0.6","1.0","{united states}","1.0","{1899.0|1899.0}","0.0","{3280.0|17000.0}","1.0","{the timken company|Timken Company}","0.0","{[, mechanical or industrial engineering, ]|[, Manufacturing, ]}"
"Kaggle_2454+dbpedia_3272","0.6","1.0","{japan}","1.0","{1918.0|1918.0}","0.0","{3652.0|259385.0}","1.0","{panasonic|Panasonic}","0.0","{[, consumer electronics, ]|[, Conglomerate (company), ]}"
"Kaggle_20070+dbpedia_811","0.8","1.0","{india}","1.0","{1954.0|1954.0}","1.0","{581.0}","1.0","{carborundum universal limited|Carborundum Universal}","0.0","{[, mining & metals, ]|[, Engineering, ]}"
"Kaggle_327266+dbpedia_242","1.0","1.0","{iran}","1.0","{2007.0|2007.0}","1.0","{30.0}","1.0","{amin investment bank|Amin Investment Bank}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_256+dbpedia_3470","0.6","1.0","{united states}","1.0","{1985.0}","0.0","{18614.0|45000.0}","1.0","{qualcomm|Qualcomm}","0.0","{[, wireless, ]|[, Semiconductor industry, , Telecommunications equipment, ]}"
"Kaggle_144228+dbpedia_2133","0.8","1.0","{canada}","1.0","{1959.0|1959.0}","1.0","{75.0}","1.0","{imperial metals corporation|Imperial Metals}","0.0","{[, mining & metals, ]|[, Metal, , Mining, ]}"
"Kaggle_277602+dbpedia_30","0.6","1.0","{united kingdom}","1.0","{2002.0|2001.0}","0.0","{36.0|1400.0}","1.0","{adata ltd|ADATA}","0.0","{[, security and investigations, ]|[, Computer data storage, , Computer memory, ]}"
"Kaggle_235241+dbpedia_272","0.75",,,"1.0","{1991.0}","1.0","{43.0}","1.0","{anta sports|Anta Sports}","0.0","{[, sports, ]|[, Sports equipment, , Textile industry, ]}"
"Kaggle_16722+dbpedia_1799","0.6","1.0","{australia}","1.0","{1989.0}","0.0","{693.0|1000.0}","1.0","{goodman|Goodman Group}","0.0","{[, real estate, ]|[, Commercial property, ]}"
"Kaggle_349897+dbpedia_4340","0.8","1.0","{israel|Israel}","1.0","{1989.0}","1.0","{28.0}","1.0","{tiv taam|Tiv Ta'am}","0.0","{[, information technology and services, ]|[, Retail, ]}"
"Kaggle_325775+dbpedia_858","0.6","0.0","{united kingdom|Sri Lanka}","1.0","{2010.0|1957.0}","0.0","{30.0|1706.0}","1.0","{central finance|Central Finance Company}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_51563+dbpedia_3864","1.0","1.0","{china}","1.0","{2004.0|2004.0}","1.0","{224.0}","1.0","{shui on land|Shui On Land}","1.0","{[, real estate, ]|[, Real estate, ]}"
"Kaggle_6993+dbpedia_2487","0.6","1.0","{south korea}","1.0","{1947.0|1947.0}","0.0","{1549.0|20000.0}","1.0","{lg chem|LG Chem}","0.0","{[, chemicals, ]|[, Chemical substance, ]}"
"Kaggle_4840+dbpedia_4210","0.6","1.0","{india}","1.0","{1919.0}","0.0","{2125.0|8613.0}","1.0","{tata power|Tata Power}","0.0","{[, utilities, ]|[, Electric utility, ]}"
"Kaggle_6329+dbpedia_1958","0.6","1.0","{india}","1.0","{1958.0|1958.0}","0.0","{1689.0|40000.0}","1.0","{hindalco industries limited|Hindalco Industries}","0.0","{[, mining & metals, ]|[, Non-ferrous metal, ]}"
"Kaggle_7328+dbpedia_4454","0.6","1.0","{united states}","1.0","{1933.0}","0.0","{1491.0|15605.0}","1.0","{trinity industries, inc.|Trinity Industries}","0.0","{[, transportation/trucking/railroad, ]|[, Conglomerate (company), ]}"
"Kaggle_40578+dbpedia_4812","0.5","1.0","{zambia}",,,"0.0","{287.0|6014.0}","1.0","{zambia sugar plc|Zambia Sugar}","0.0","{[, farming, ]|[, Agriculture, ]}"
"Kaggle_362584+dbpedia_2993","0.6","1.0","{united states}","1.0","{1972.0}","0.0","{26.0|901.0}","1.0","{natures sunshine products|Nature's Sunshine Products}","0.0","{[, marketing and advertising, ]|[, Multi-level marketing, ]}"
"Kaggle_1141+dbpedia_1744","0.6","1.0","{united states}","1.0","{1985.0}","0.0","{6541.0|68700.0}","1.0","{genesis healthcare|Genesis HealthCare}","0.0","{[, hospital & health care, ]|[, Health care, ]}"
"Kaggle_45990+dbpedia_4200","0.6","1.0","{united states}","1.0","{1981.0|1981.0}","0.0","{252.0|285.0}","1.0","{tanger factory outlet centers, inc.|Tanger Factory Outlet Centers}","0.0","{[, real estate, ]|[, Real estate investment trust, ]}"
"Kaggle_36765+dbpedia_147","0.75",,,"1.0","{1991.0}","0.0","{317.0|926.0}","1.0","{aktia|Aktia Bank}","1.0","{[, financial services, ]|[, Financial services, ]}"
"Kaggle_33445+dbpedia_4241","0.8","1.0","{iran}","1.0","{1971.0|1971.0}","0.0","{350.0|20000.0}","1.0","{telecommunication company of iran - tci|Telecommunication Company of Iran}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_5171+dbpedia_3369","0.6","1.0","{united states}","1.0","{1997.0|1997.0}","0.0","{2009.0|1853.0}","1.0","{pioneer natural resources company|Pioneer Natural Resources}","0.0","{[, oil & energy, ]|[, Petroleum industry, ]}"
"Kaggle_10080+dbpedia_122","0.6","1.0","{canada}","1.0","{1957.0|1953.0}","0.0","{1109.0|8400.0}","1.0","{agnico eagle mines limited|Agnico Eagle Mines Limited}","0.0","{[, mining & metals, ]|[, Mining, ]}"
"Kaggle_91003+dbpedia_3285","0.6","1.0","{romania|Romania}","1.0","{1993.0}","0.0","{123.0|860.0}","1.0","{patria bank|Patria Bank}","0.0","{[, banking, ]|[, Financial services, , Bank, ]}"
"Kaggle_57737+dbpedia_2388","0.5",,,"1.0","{2001.0}","0.0","{199.0|1850.0}","1.0","{karafarin bank|Karafarin Bank}","0.0","{[, banking, ]|[, Bank, ]}"
"Kaggle_5948+dbpedia_4458","0.6","1.0","{united states}","1.0","{1993.0|1993.0}","0.0","{1787.0|14309.0}","1.0","{triumph group|Triumph Group}","0.0","{[, aviation & aerospace, ]|[, Manufacturing, , Aerospace, ]}"
"Kaggle_339377+dbpedia_4651","0.75",,,"1.0","{2018.0}","0.0","{29.0|13520.0}","1.0","{vodafone idea limited|Vodafone Idea Ltd}","1.0","{[, telecommunications, ]|[, Telecommunications, ]}"
"Kaggle_61168+dbpedia_4629","0.6","1.0","{united states}","1.0","{2008.0|1995.0}","0.0","{187.0|581.0}","1.0","{virtus investment partners|Virtus Investment Partners}","0.0","{[, investment management, ]|[, Asset management, ]}"
"Kaggle_20423+dbpedia_3936","0.6","1.0","{Bangladesh}","1.0","{1972.0}","0.0","{571.0|21839.0}","1.0","{sonali bank limited|Sonali Bank}","0.0","{[, banking, ]|[, Financial services, ]}"
"Kaggle_101055+dbpedia_2054","0.6","0.0","{brazil|South Korea}","1.0","{2012.0|1972.0}","1.0","{110.0}","1.0","{hyundai heavy industries brasil|Hyundai Heavy Industries}","0.0","{[, machinery, ]|[, Machine industry, , Shipbuilding, , Arms industry, ]}"
"Kaggle_4085921+dbpedia_1303","0.75",,,"1.0","{1896.0}","1.0","{1.0}","1.0","{doosan|Doosan Group}","0.0","{[, information technology and services, ]|[, Conglomerate (company), ]}"
"Kaggle_177581+dbpedia_232","0.6","1.0","{united states}","1.0","{2011.0|1964.0}","0.0","{59.0|63000.0}","1.0","{americana|Americana Group}","0.0","{[, marketing and advertising, ]|[, Convenience food, , Franchising, ]}"
